URN,COHORT,OVERALL,FEC,INDEP,OTHERFE,SSF,SFC,SPI,AP_PRU,SPECIAL,APPREN,HE,COMBO,KNOWN,UNKNOWN,OVERALLPER,FECPER,INDEPPER,OTHERFEPER,SSFPER,SFCPER,SPIPER,AP_PRUPER,SPECIALPER,APPRENPER,HEPER,COMBOPER,KNOWNPER,UNKNOWNPER
140254,110,90,45,0,10,20,20,0,0,0,5,0,0,15,SUPP,84%,41%,0%,8%,18%,16%,0%,0%,0%,3%,0%,0%,15%,SUPP
136718,280,260,100,0,15,130,10,0,0,0,20,0,0,20,5,91%,36%,0%,5%,46%,4%,0%,0%,0%,7%,0%,0%,7%,2%
141730,240,220,60,0,10,125,20,0,0,0,30,0,5,15,5,90%,26%,0%,3%,52%,8%,0%,0%,0%,12%,0%,1%,7%,3%
106959,160,140,50,0,5,75,5,0,0,0,5,0,0,10,10,88%,33%,0%,4%,49%,2%,0%,0%,0%,4%,0%,0%,6%,5%
136301,230,210,85,0,15,90,25,0,0,0,20,0,0,10,5,93%,38%,0%,6%,40%,10%,0%,0%,0%,9%,0%,0%,5%,1%
136331,260,240,55,SUPP,10,160,10,0,0,0,20,0,SUPP,15,5,92%,21%,SUPP,5%,63%,3%,0%,0%,0%,8%,0%,SUPP,5%,2%
106962,130,120,60,0,10,25,25,0,0,0,15,0,SUPP,5,SUPP,94%,49%,0%,7%,18%,19%,0%,0%,0%,10%,0%,SUPP,6%,SUPP
138329,140,130,45,0,5,65,15,SUPP,0,0,5,0,0,5,SUPP,94%,31%,0%,4%,47%,12%,SUPP,0%,0%,4%,0%,0%,4%,SUPP
136042,220,190,65,0,10,115,5,0,0,0,10,0,0,10,10,89%,30%,0%,4%,53%,2%,0%,0%,0%,4%,0%,0%,6%,6%
106966,10,10,SUPP,0,0,0,0,0,0,5,0,0,0,SUPP,0,88%,SUPP,0%,0%,0%,0%,0%,0%,63%,0%,0%,0%,SUPP,0%
106967,20,20,10,0,SUPP,0,0,5,0,5,0,0,0,SUPP,0,94%,50%,0%,SUPP,0%,0%,17%,0%,17%,0%,0%,0%,SUPP,0%
106968,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
106969,20,20,10,0,SUPP,SUPP,0,0,SUPP,SUPP,0,0,0,0,0,100%,67%,0%,SUPP,SUPP,0%,0%,SUPP,SUPP,0%,0%,0%,0%,0%
106970,20,20,5,0,5,0,0,SUPP,0,5,0,0,0,0,0,100%,47%,0%,20%,0%,0%,SUPP,0%,20%,0%,0%,0%,0%,0%
106972,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
138414,170,150,110,0,10,10,15,0,0,0,10,0,0,20,10,83%,63%,0%,6%,5%,10%,0%,0%,0%,5%,0%,0%,12%,5%
139856,170,140,65,0,15,20,35,SUPP,0,0,15,0,0,20,10,84%,40%,0%,10%,11%,22%,SUPP,0%,0%,10%,0%,0%,11%,5%
139167,180,180,45,SUPP,5,125,10,0,0,0,5,0,0,0,SUPP,99%,24%,SUPP,2%,67%,4%,0%,0%,0%,4%,0%,0%,0%,SUPP
138841,200,180,40,SUPP,5,130,5,SUPP,0,0,5,0,0,15,SUPP,92%,20%,SUPP,2%,65%,4%,SUPP,0%,0%,3%,0%,0%,7%,SUPP
138069,230,220,45,SUPP,10,160,5,0,0,0,10,0,0,5,5,96%,20%,SUPP,4%,69%,2%,0%,0%,0%,5%,0%,0%,3%,1%
107135,300,260,180,SUPP,25,20,35,0,0,0,30,0,0,35,10,86%,61%,SUPP,8%,7%,11%,0%,0%,0%,10%,0%,0%,11%,3%
137400,170,120,80,0,20,5,15,0,0,0,20,0,0,30,20,72%,47%,0%,12%,4%,9%,0%,0%,0%,11%,0%,0%,18%,11%
107139,250,240,55,SUPP,10,165,10,0,0,0,10,0,0,10,5,95%,21%,SUPP,3%,66%,4%,0%,0%,0%,4%,0%,0%,4%,2%
107140,240,220,75,0,10,130,10,0,0,0,10,0,0,15,5,92%,31%,0%,3%,54%,4%,0%,0%,0%,4%,0%,0%,6%,2%
140809,350,300,190,SUPP,20,20,70,0,0,0,25,0,0,35,15,86%,54%,SUPP,6%,5%,20%,0%,0%,0%,7%,0%,0%,10%,4%
107143,180,160,105,SUPP,15,35,5,0,0,0,20,0,0,20,SUPP,88%,57%,SUPP,8%,18%,4%,0%,0%,0%,10%,0%,0%,11%,SUPP
139101,180,170,55,0,15,100,5,0,0,0,20,0,SUPP,5,5,96%,29%,0%,7%,56%,2%,0%,0%,0%,12%,0%,SUPP,2%,3%
107146,240,210,160,0,20,30,SUPP,0,0,0,30,0,0,25,5,87%,66%,0%,7%,12%,SUPP,0%,0%,0%,13%,0%,0%,11%,2%
141495,200,190,115,0,25,35,10,0,0,0,30,0,0,15,SUPP,93%,59%,0%,12%,17%,6%,0%,0%,0%,15%,0%,0%,7%,SUPP
138545,340,310,155,5,10,145,0,0,0,0,15,0,SUPP,15,5,93%,46%,1%,3%,43%,0%,0%,0%,0%,5%,0%,SUPP,5%,1%
138925,150,140,25,SUPP,5,20,85,0,0,0,SUPP,0,0,10,5,92%,18%,SUPP,2%,14%,57%,0%,0%,0%,SUPP,0%,0%,5%,3%
138361,210,200,40,SUPP,5,150,5,0,0,0,5,0,0,5,0,99%,19%,SUPP,2%,74%,2%,0%,0%,0%,2%,0%,0%,1%,0%
138337,200,190,75,0,10,95,15,0,0,0,10,0,SUPP,5,5,96%,36%,0%,4%,47%,8%,0%,0%,0%,5%,0%,SUPP,2%,2%
131895,190,160,65,SUPP,10,75,5,0,0,0,5,0,0,20,10,84%,34%,SUPP,6%,40%,4%,0%,0%,0%,3%,0%,0%,11%,5%
131896,200,170,80,0,10,65,10,0,0,0,10,0,SUPP,20,10,85%,41%,0%,5%,34%,5%,0%,0%,0%,4%,0%,SUPP,9%,6%
135934,150,120,45,0,5,25,40,0,0,0,10,0,0,30,10,76%,31%,0%,5%,16%,25%,0%,0%,0%,5%,0%,0%,18%,5%
107169,30,30,10,0,0,0,0,0,0,20,0,0,0,0,0,100%,33%,0%,0%,0%,0%,0%,0%,67%,0%,0%,0%,0%,0%
