RECTYPE,LEA,ESTAB,URN,NFTYPE,TPUP,ATT8SCR,P8MEA,P8CILOW,P8CIUPP,PTEBACC_E_PTQ_EE,PTEBACC_PTQ_EE,PTL2BASICS_LL_PTQ_EE
4,204,,,,2040,52.3,0.35,0.3,0.4,0.525,0.325,0.693
1,205,6905,131752,AC,171,52,0.17,0.01,0.34,0.78,0.29,0.61
1,205,6404,134735,IND,,NA,NA,NA,NA,NA,NA,NA
1,205,4001,141135,F,,,,,,,,
1,205,4106,139364,ACC,70,44.1,-0.19,-0.47,0.09,0.19,0.1,0.46
1,205,4315,139365,ACC,124,56.7,0.71,0.5,0.91,0.54,0.46,0.75
1,205,6291,100369,IND,,NA,NA,NA,NA,NA,NA,NA
1,205,6906,136172,AC,111,52.7,-0.04,-0.25,0.16,0.88,0.34,0.67
1,205,4002,141617,AC,79,49.4,0.16,-0.13,0.44,0.52,0.14,0.71
1,205,4632,138607,ACC,119,61.3,0.17,-0.03,0.37,0.71,0.61,0.87
1,205,6306,100370,IND,,NA,NA,NA,NA,NA,NA,NA
1,205,5400,137157,ACC,182,64.9,0.47,0.32,0.63,0.83,0.69,0.88
1,205,4004,143129,AC,,,,,,,,
1,205,4314,100359,FD,161,43.6,-0.39,-0.56,-0.22,0.39,0.08,0.5
1,205,4620,137935,ACC,164,64.7,0.41,0.25,0.58,0.8,0.71,0.87
1,205,6399,100527,IND,,NA,NA,NA,NA,NA,NA,NA
1,205,6011,100366,IND,,NA,NA,NA,NA,NA,NA,NA
1,205,6405,136504,IND,,NA,NA,NA,NA,NA,NA,NA
1,205,4000,136750,F,120,58,0.13,-0.07,0.33,0.74,0.46,0.75
1,205,6200,135729,IND,,NA,NA,NA,NA,NA,NA,NA
2,205,7204,100382,CYS,12,0.8,-1.92,-2.55,-1.29,0,0,0
2,205,7203,100381,CYS,7,NE,NE,NE,NE,NE,NE,NE
2,205,6395,131675,INDSPEC,,NA,NA,NA,NA,NA,NA,NA
2,205,7206,135175,NMSS,,NA,NA,NA,NA,NA,NA,NA
2,205,7014,100378,CYS,9,NE,NE,NE,NE,NE,NE,NE
2,205,7153,100379,CYS,21,14.6,-1.18,-1.66,-0.7,0,0,0.05
4,205,,,,1352,53.9,0.12,0.06,0.18,0.645,0.403,0.694
1,206,4325,131690,FD,133,46.1,0.31,0.1,0.52,0.17,0.14,0.56
1,206,4614,100458,VA,137,58.2,0.66,0.48,0.84,0.42,0.31,0.85
1,206,6906,135587,AC,107,54.3,0.81,0.61,1.02,0.46,0.31,0.68
1,206,4324,100457,CY,132,53.8,0.42,0.23,0.61,0.75,0.4,0.73
1,206,4307,100455,CY,133,53,0.42,0.23,0.61,0.36,0.29,0.7
1,206,4108,100452,CY,201,45.2,-0.35,-0.51,-0.2,0.52,0.24,0.45
1,206,4112,100453,CY,145,45.6,-0.16,-0.34,0.02,0.24,0.1,0.36
1,206,6162,100461,IND,,NA,NA,NA,NA,NA,NA,NA
1,206,4704,100460,VA,90,47.1,0.21,-0.02,0.44,0.23,0.18,0.58
1,206,4651,100459,VA,163,53.9,0.22,0.06,0.39,0.71,0.39,0.76
1,206,6905,134314,AC,147,52.9,0.06,-0.11,0.24,0.47,0.33,0.82
2,206,7031,134030,CYS,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2,206,7030,100467,CYS,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2,206,7146,100469,CYS,10,4.5,-1.42,-2.12,-0.73,0,0,0
4,206,,,,1400,50.4,0.19,0.14,0.25,0.444,0.269,0.638
1,207,6348,100537,IND,,NA,NA,NA,NA,NA,NA,NA
1,207,5402,141931,ACC,119,62.9,0.44,0.24,0.63,0.61,0.55,0.88
1,207,6905,135531,AC,170,54.8,0.38,0.21,0.55,0.36,0.2,0.72
1,207,6362,100539,IND,,NA,NA,NA,NA,NA,NA,NA
1,207,6386,100544,IND,,NA,NA,NA,NA,NA,NA,NA
1,207,6262,100526,IND,,NA,NA,NA,NA,NA,NA,NA
1,207,6007,140225,IND,,NA,NA,NA,NA,NA,NA,NA
1,207,4320,140134,ACC,224,61.4,0.58,0.43,0.72,0.79,0.62,0.82
1,207,4000,140212,AC,,,,,,,,
1,207,6391,100547,IND,,NA,NA,NA,NA,NA,NA,NA
1,207,6363,100540,IND,,NA,NA,NA,NA,NA,NA,NA
1,207,6202,100521,IND,,NA,NA,NA,NA,NA,NA,NA
1,207,6026,100511,IND,,NA,NA,NA,NA,NA,NA,NA
1,207,4681,100502,VA,120,52.1,0.12,-0.08,0.31,0.34,0.14,0.64
1,207,4801,100503,VA,97,51.6,0.12,-0.11,0.34,0.38,0.26,0.72
1,207,6396,131778,IND,,NA,NA,NA,NA,NA,NA,NA
1,207,6009,140603,IND,,NA,NA,NA,NA,NA,NA,NA
2,207,7164,141957,ACCS,11,NE,NE,NE,NE,NE,NE,NE
4,207,,,,740,56.5,0.35,0.27,0.43,0.524,0.377,0.753
1,208,5403,100640,VA,104,45.9,-0.35,-0.57,-0.14,0.45,0.12,0.61
1,208,6906,135389,AC,175,46.6,0.02,-0.15,0.19,0.5,0.26,0.48
1,208,5401,100638,VA,179,60.1,0.68,0.52,0.84,0.39,0.36,0.86
1,208,6907,137954,AC,,,,,,,,
1,208,6004,100529,IND,,NA,NA,NA,NA,NA,NA,NA
1,208,5402,137093,ACC,177,51.3,-0.1,-0.27,0.06,0.72,0.19,0.68
1,208,5207,136288,ACC,,,,,,,,
1,208,4731,129649,VC,167,46,-0.2,-0.38,-0.03,0.45,0.16,0.44
1,208,5400,100637,VA,148,55.1,0.41,0.23,0.58,0.67,0.39,0.72
1,208,6905,134815,AC,165,48.3,0.11,-0.06,0.28,0.27,0.14,0.59
1,208,4321,100625,CY,110,51,0.52,0.31,0.73,0.44,0.28,0.61
1,208,5405,100642,FD,101,50.8,-0.34,-0.55,-0.13,0.42,0.22,0.7
1,208,4223,100624,CY,129,48.3,0,-0.2,0.19,0.56,0.4,0.61
1,208,4000,139659,F,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,208,4322,136450,ACC,186,54.1,0.56,0.4,0.73,0.8,0.28,0.72
1,208,4509,100627,VA,60,46.4,0.27,-0.1,0.64,0.35,0.2,0.67
1,208,5404,137966,ACC,147,49.6,-0.22,-0.4,-0.04,0.5,0.24,0.57
1,208,4005,142905,FUTC,,,,,,,,
1,208,6311,100648,IND,,NA,NA,NA,NA,NA,NA,NA
1,208,4003,140966,F,,,,,,,,
2,208,7115,100659,CYS,16,5.5,-2.15,-2.73,-1.57,0,0,0
2,208,7001,100654,CYS,18,3.7,-1.77,-2.27,-1.26,0,0,0
2,208,7195,133442,CYS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2,208,5950,100643,FDS,16,0.6,-1.49,-2.01,-0.96,0,0,0
4,208,,,,1898,49.5,0.07,0.02,0.12,0.504,0.247,0.619
1,209,4600,100748,VA,119,45.4,-0.46,-0.66,-0.26,0.08,0.05,0.6
1,209,4802,100752,VA,148,53.5,0.41,0.23,0.58,0.34,0.24,0.7
1,209,4249,100742,CY,158,45.1,-0.36,-0.53,-0.19,0.56,0.17,0.51
1,209,4047,100740,CY,180,47.1,-0.04,-0.21,0.13,0.29,0.27,0.66
1,209,4289,100745,CY,221,46.4,-0.4,-0.54,-0.25,0.39,0.24,0.43
