LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Exclud",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Exclu1",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
358,3324,106355,16,11,1,12.5,10.4,1,18.5,37900
358,3325,106356,17,14,2,14.6,7.8,1.1,22,36710
358,3327,106358,11,7,1,9.2,3.7,0.8,22.6,38446
358,3330,106359,12,15,3,9.9,11.1,2.4,22.4,40164
358,3331,106360,15,12,1,11.8,10.1,1,17.6,40731
358,3332,136087,32,22,6,28.2,16.2,4.7,22.7,34840
358,5900,138134,58,1,18,54.3,0.5,15.4,17.5,36749
359,2000,106399,12,27,6,9.9,17.5,5.9,24.7,40684
359,2005,142028,18,36,3,18,18,2.3,19.3,34118
359,2007,106402,10,19,2,10,6.9,2,21.4,37119
359,2009,106403,11,31,4,10.6,18.5,3.3,23.6,37505
359,2010,106404,13,19,4,13,10.4,3.6,17.7,37524
359,2013,106405,19,35,5,18.2,23.6,4.1,25.5,37417
359,2015,106406,17,31,2,17,13.1,1.9,20.4,37811
359,2017,106407,20,34,5,18.7,15.8,4.2,23.4,38210
359,2023,106409,11,18,3,7.8,7.5,2.3,27,35231
359,2026,106412,23,27,2,20.7,15.6,1.6,21.4,38634
359,2027,106413,7,7,5,6.2,3.9,3.4,16.1,35977
359,2030,106414,9,21,5,8.3,10.9,3.2,23.5,40334
359,2031,106415,12,18,3,11.5,7.2,2.8,17.7,36203
359,2032,141642,17,32,3,17,17.7,2.5,25.5,35762
359,2033,106417,14,24,2,13.2,13.5,2,17.8,40411
359,2034,106418,14,25,12,13.4,20.1,11,17.9,NA
359,2036,138036,15,22,8,14.2,14,6.4,25.7,38685
359,2037,106420,17,20,3,16.1,14.2,2.9,19.2,36226
359,2039,106421,9,11,3,9,9.5,2,21.4,35660
359,2040,106422,11,23,6,11,15.9,4.5,18.7,35027
359,2043,106424,20,31,5,18.7,19.1,3.4,25.4,39770
359,2045,106425,10,22,9,10,14.1,8.3,22.6,39659
359,2046,106426,16,41,3,16,17.3,2.4,19.3,32761
359,2047,106427,19,28,6,17.5,14,4.4,22.6,33799
359,2049,106428,23,39,2,20.5,14.4,2,20.4,37085
359,2050,106429,8,13,2,7.1,4.2,1.4,19.9,35982
359,2051,106430,18,34,7,16.9,17.2,4.1,20.2,38743
359,2053,106431,7,19,3,7,7.8,1.7,30,40997
359,2058,106433,23,28,3,18.8,14.6,2.8,23.8,37186
359,2062,106436,12,17,3,11.4,6.5,2.3,18.2,36553
359,2064,130385,25,43,6,23.5,25.6,5.9,20.3,37075
359,3007,106437,8,29,3,8,17.5,2.2,24.3,35581
