LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Exclud",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Exclu1",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
879,2694,113315,18,22,5,16.2,16.6,2.2,26,39594
879,2695,113316,9,14,2,9,5.9,0.9,21.8,40085
879,2696,113317,10,11,4,8.8,6.2,2.1,25,37600
879,2699,137876,13,8,10,11.9,5.7,5.1,22.3,35925
879,2701,138310,23,36,12,19.6,14.3,5.5,21.8,38160
879,2702,139289,9,6,2,8,4.6,1.4,27.4,35091
879,2703,113324,27,25,4,22.3,14.5,2.8,19.3,37837
879,2705,113326,19,23,4,17.2,14.3,2.6,23.1,37267
879,2706,113327,10,20,6,9.5,14.4,3.5,20.5,36823
879,2707,113328,10,13,6,8.1,6.5,2.5,25.7,38223
879,2708,113329,19,26,5,17.4,11.6,2.5,17.3,32749
879,2724,113344,22,17,9,20.1,11.3,5.8,17.4,35743
879,2725,113345,33,82,7,28.7,35.1,4.8,21.8,37402
879,2729,132215,25,20,8,23.2,11.7,5.9,17.6,33944
879,2730,133602,20,43,12,19,18.7,4.8,20.3,35190
879,3159,113416,24,25,4,20.2,12.9,2.2,21,37955
879,3160,113417,13,17,2,10.4,8.1,1.7,19.4,37923
879,3161,113418,21,19,6,15.3,11.9,2.4,23.4,38289
879,3162,142443,11,9,3,9.4,3.6,2.2,22.8,36691
879,3757,113483,12,14,2,10.6,5.4,1.6,16.8,37011
879,3759,113485,12,13,6,11.1,8.3,3.3,18.7,37169
879,3760,113486,8,10,8,6.6,6.6,3.7,27,36362
879,3761,140726,18,19,5,14.2,7.4,2.1,18,32158
879,3762,140730,14,15,4,10.5,9.7,1.2,18.9,37872
879,3763,140785,10,9,4,7.3,5.4,2.4,14.8,34667
879,3765,140764,10,12,5,8.6,7.4,2,18.5,35159
879,3766,140784,12,10,5,9.8,5.8,2.3,18,36372
879,3767,134802,24,31,15,22.6,21.8,7.8,17.8,32087
879,3768,134803,38,43,6,30.1,23.2,4.9,22.2,36849
879,3769,135146,14,17,3,12.4,11,2.6,24.4,37920
879,3770,135145,22,30,10,19.8,17.4,6.9,21.7,35194
879,3771,135144,21,20,6,15.5,10.2,3.5,26.5,38188
879,3772,135348,35,57,10,33.3,38.6,7.8,16.1,36658
879,3773,135349,18,41,5,16.3,14.8,3.5,27,38913
879,3774,135350,24,21,8,21.5,13.6,5.3,23.4,35097
879,3775,135351,25,39,9,20.5,20.8,6.8,21.9,37266
879,3777,135853,25,30,9,19.8,20.7,4.2,16.8,33847
879,4001,139923,33,29,14,28.3,20,11.9,18.6,34208
880,2000,138047,24,20,11,21.4,13.8,9.4,16.3,31866
880,2001,138369,48,34,7,43.2,25.3,6.2,14.5,34560
880,2002,138772,23,26,10,20,16.3,8.4,21.5,38323
880,2003,138773,27,36,11,24,25.4,7.5,15.8,36963
880,2004,141237,17,28,10,15.3,15.7,5,20.1,36670
880,2407,113190,16,14,5,13.8,10.9,3.3,20,36320
880,2438,142361,36,41,14,29.8,24.6,10.8,22.1,36749
880,2439,113216,24,22,10,22.7,17.3,5.1,20.8,32797
880,2453,140063,25,41,12,24.1,22,9.9,20.8,35042
880,2455,113231,15,19,5,11.4,10.9,3.3,19.7,35477
880,2456,136602,23,29,8,18.5,18.3,5.2,22.3,35054
880,2460,113233,14,16,8,12,11.1,6,18,38440
880,2468,136659,26,22,7,21.5,15.4,5.4,21.9,35698
880,2469,113240,35,46,14,28.9,25.6,7.9,23.4,38625
880,2473,142364,17,33,7,14.3,15.2,5.2,22.3,35457
880,3103,113390,13,30,6,10.5,16.3,3.2,22.4,35854
880,3119,137304,10,9,3,9.2,5.8,2.5,19.2,38032
880,3120,113402,9,11,6,6.7,6.6,2.3,15.4,35833
880,3121,142287,18,19,7,16.8,12.6,3.9,23.7,31614
880,3600,113458,10,15,4,8,8,2.3,25.1,35638
880,3601,140768,7,16,4,6.2,6.2,2.2,19.2,36803
880,3613,140749,15,18,4,12.3,12.8,2.2,18.6,34403
880,3614,140745,12,20,4,9.8,9.8,1.1,20.5,37878
880,3615,140629,11,13,6,9.8,10,2.3,21.1,36868
880,3616,140644,17,21,4,15.2,12,2.1,21.7,36759
880,3617,140743,10,21,9,9.6,11.1,4.4,20.7,30337
880,3618,140092,20,21,6,14.6,12.6,3.2,20.4,32929
880,3619,113476,11,12,5,9.7,8.2,3.2,21.3,36565
880,3751,136892,23,27,28,20.8,18.5,15.1,21,34946
880,5200,136648,23,29,8,23,23,5.2,18.6,33754
881,2000,138901,18,27,3,14.8,17.8,2.8,27.2,34928
881,2001,114704,17,20,3,15.8,10.7,2.5,22,NA
881,2002,114705,15,21,5,13.6,14.9,4.5,21.6,35787
881,2003,114706,25,22,4,17.8,11,3.6,23.6,37596
881,2004,131806,24,16,20,19.8,7.7,12.4,20.9,34763
881,2005,131579,17,5,19,13.7,2,11.5,22.8,36911
881,2006,114707,16,23,4,13.7,13.7,2.7,16.4,36264
881,2007,114708,17,20,5,14.8,13.3,3.3,22.5,34077
881,2008,114709,24,18,15,19.8,8.9,10.2,22.8,37356
881,2010,114710,10,13,3,8.7,5.6,2.2,23.9,38233
881,2011,114711,16,22,6,15.9,16.2,5.9,24.4,36093
881,2012,138072,12,23,2,10.8,10.1,1.5,27.6,36537
881,2013,132142,23,24,6,19.4,13.1,2.7,21.5,38497
881,2014,132084,29,35,9,25.3,22.7,7.2,19.6,34608
881,2015,132164,19,21,4,16.9,7.8,2.1,26.8,36278
881,2017,114717,13,11,11,11.2,7.1,6.3,17.4,34573
881,2018,132165,21,32,5,18.8,18.9,3.9,22,34894
881,2020,134065,25,58,9,17.3,17.3,4.6,25,35474
881,2022,138575,38,64,18,33.9,47.2,15.5,19.9,33554
881,2023,138604,15,13,3,13.9,7.8,2.7,17.5,35328
881,2024,138404,19,20,8,18,15.5,6.1,16.4,30783
881,2025,138911,19,22,5,16.5,14.1,4.7,27.3,33011
881,2026,114721,19,32,8,18.1,21.7,6.3,24.9,32822
881,2027,114722,22,30,10,18.6,24.4,7.7,21.3,34110
881,2028,114723,8,11,4,8,9,3.6,26.3,33784
881,2030,138994,10,3,15,9,2.2,10,26.4,38537
881,2031,138996,13,14,5,12.4,8.4,4.2,15.3,38442
881,2032,139252,5,8,3,3.3,3.6,1.6,23.3,37007
881,2033,139398,19,18,4,17.6,11.4,3.5,17.4,NA
881,2034,114726,9,10,2,6.4,6.1,1.4,20.9,35826
881,2035,139399,8,12,2,7.2,7.9,0.4,29.3,NA
881,2036,114727,10,8,3,6.4,4.4,2,21,NA
881,2037,114728,11,7,5,8.6,2.7,3.5,22.8,36662
881,2038,114729,11,19,7,8.1,12,3.6,18.5,41199
881,2039,114730,8,10,2,5.8,3.7,1.6,17.2,38468
881,2041,114732,11,18,3,10.3,12.9,2.2,27.5,37854
881,2042,114733,7,10,3,7,6,2.1,21,38338
881,2043,114734,8,11,2,7.1,5.3,1.4,18.2,33604
881,2044,114735,6,9,2,5.1,4,1.2,18.5,34995
881,2045,114736,12,16,13,9.3,3.2,6.8,22.2,38753
881,2046,139577,10,23,3,8.6,12.4,1.7,23,36349
881,2050,114738,11,9,8,7,4.5,4.8,19.9,34344
881,2051,114739,6,5,2,6,4.1,1.4,18.3,37670
881,2053,140735,14,18,4,12.8,11.2,2.6,20.6,33834
881,2054,114742,17,32,6,14.4,13.6,3.7,21.5,NA
881,2055,114743,16,18,3,11.1,9.3,2.3,23,35750
881,2056,114744,11,13,3,8.2,6.1,1.7,22.1,39482
881,2057,114745,15,9,2,11.6,4.3,1.8,17.8,35446
881,2058,114746,13,13,11,9.9,6.5,7.8,20.6,36804
881,2059,114747,17,35,5,15.5,12.2,3.7,20.7,40023
881,2060,139583,20,21,4,15.8,11.9,3.8,19.5,35906
881,2062,114750,17,16,7,10.9,9.5,4.6,21.5,38425
881,2063,114751,14,23,4,12.6,10.5,3.3,21.4,33848
881,2064,114752,13,15,6,9.5,6.1,3.7,22.5,34297
881,2067,139641,11,16,15,11,13.4,11.8,29.4,39561
881,2068,114755,15,14,5,12.3,9.4,4,20.6,38944
881,2069,114756,12,10,11,7.8,6.3,4.9,22.3,35233
881,2071,114757,18,25,7,15.4,18.6,4.1,20.3,37353
881,2072,114758,16,24,8,13.8,13.5,3.8,24.3,38317
881,2073,114759,13,NA,22,9.9,NA,11.4,23.9,36677
881,2074,114760,11,12,4,8.8,6.6,2.6,19.4,36046
881,2075,114761,26,18,13,19.9,9.9,6.5,21.1,37560
881,2079,139802,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS
881,2080,138028,32,39,7,25.8,23.9,5.7,18.4,33992
881,2081,114764,17,25,8,14.7,13,5,21.4,37107
881,2082,131209,21,19,5,20.8,12.4,3,24.3,33103
881,2083,114765,15,26,5,13.6,17.8,4,29.4,36590
881,2084,139806,9,2,8,8.3,1.5,4.3,23.4,36123
881,2085,139808,9,11,8,8.5,7.9,5.4,23.8,38334
881,2088,114767,6,9,3,4.8,5.4,2,20.7,40914
881,2090,114769,18,20,24,14.4,5.9,9.1,21.7,36434
881,2091,139917,10,12,8,9.2,7.9,4.9,19.8,39606
881,2092,139950,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS
881,2093,140019,14,26,2,13.6,14.3,1.4,31.4,34026
881,2094,140024,25,22,4,23.5,13.5,3.2,19.6,30300
881,2095,140180,10,20,6,7.6,5.4,3.4,23.8,35121
881,2096,140181,9,15,7,8.4,7.9,4,25.4,36955
881,2097,140367,14,12,6,12.8,8.9,4.5,19.4,36873
881,2098,140375,8,17,4,6.8,6.7,2.3,24,33235
881,2099,140380,6,1,2,5.2,1,1.8,14.4,34903
881,2100,140396,3,3,1,3,2.3,1,19,SUPP
881,2103,140666,16,13,7,15.6,8.8,3.4,22.2,35284
881,2104,140668,13,16,2,11.4,12.6,1.6,18.5,36573
881,2105,140828,8,4,9,8,2.6,6.9,27.8,40247
881,2106,140844,9,5,4,7.5,3.7,1.8,21.5,34575
881,2107,141113,24,24,9,20,15.3,6.7,20.7,32445
881,2108,141170,11,10,6,10.8,8.6,3.6,25.2,37358
881,2109,141182,14,6,5,9.5,4.4,2.9,21.5,35119
881,2110,141194,11,10,4,7.9,6.8,3.1,24,36730
881,2111,141195,13,14,12,11.8,9.2,5.9,18.6,35260
881,2113,141326,6,14,4,6,9.2,3.5,SUPP,39540
881,2114,141355,15,14,5,13,9.4,2.7,15.5,35869
881,2115,141379,17,11,3,15.6,8.2,2.4,15.6,38593
881,2116,141380,18,12,4,16.3,7.9,2.6,18.4,37300
881,2117,141381,9,8,5,8,5.1,4.3,26.5,32174
881,2118,141511,2,6,NA,2,2.8,NA,19.5,SUPP
881,2119,141656,3,5,1,3,3.2,1,14.7,SUPP
881,2121,141657,13,14,3,9.7,9.7,2.9,21.1,35472
881,2123,141658,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS
881,2124,141681,4,2,1,4,1.3,0.5,8.5,41482
881,2125,141869,13,15,8,10.2,5.2,4.3,24,35354
881,2127,141885,23,42,9,20,24.6,6.7,20.5,34093
881,2129,142000,21,17,27,18.9,12.1,19.1,21.6,34017
881,2130,114792,17,29,9,14.1,12.6,7.1,29.3,38827
881,2131,142001,11,19,3,10.8,13.3,2.9,18.1,33018
881,2132,142002,8,12,9,8,7,5.7,19.3,33957
881,2134,114794,19,29,5,15.2,21.5,4.3,20.1,37775
881,2136,141625,8,12,7,7.4,4.8,2.6,28,35709
881,2180,137971,21,28,7,19,18.5,5.6,31.4,36945
881,2181,114801,11,16,4,9.9,7.5,2.7,25.9,40468
881,2191,114802,10,7,4,8.4,3.8,2.3,17.7,37303
881,2200,136855,18,21,5,14.4,13.1,3.1,20.8,33091
881,2210,114805,18,18,5,15.8,9.6,3.2,18.1,35548
881,2230,114806,21,16,7,20.4,12.5,7,15.3,33003
881,2231,114807,18,20,4,17.4,15.1,3.6,17.5,35672
881,2250,114809,14,NA,22,10.9,NA,12.2,21,34931
881,2251,114810,9,4,4,5.8,3.5,3,12.5,34752
881,2261,114811,8,10,2,5.9,4.2,1.8,18.3,38707
881,2271,114813,19,24,5,17,9.1,3.2,22.6,38301
881,2281,114814,11,9,2,8.7,5.9,1.4,20.2,37245
881,2297,114817,10,19,6,9.3,14.1,4.5,21.6,34293
881,2300,114818,26,21,6,23,13.8,4.6,23.6,35926
881,2301,114819,25,40,19,22.4,26.2,9.9,22,34178
881,2310,114821,17,14,3,16.4,9.6,2.8,24.5,34654
881,2311,114822,12,21,5,11.2,15.2,4.9,21.5,35664
881,2317,114823,14,14,7,10.5,6.2,3.2,19.3,37304
881,2323,114825,5,5,1,4.2,3.6,0.5,17.1,34364
881,2330,114827,11,20,8,10.6,13.7,3.6,22.7,37927
881,2350,114828,16,36,4,11.3,18.3,3.7,27.7,34037
881,2361,114830,8,22,4,7.2,5.6,2,20.6,36600
881,2370,114832,9,13,3,6.5,5.1,1.1,22.1,37908
881,2374,114834,16,22,8,13.7,13.5,5.9,20.9,36865
881,2380,114835,8,10,2,5.8,5.3,1.2,20.5,36430
881,2410,114842,17,18,7,14.8,10.6,3.5,17.7,36296
881,2414,114843,14,33,5,13.2,14.7,3.7,17.5,38060
881,2420,114844,6,10,6,5.4,4.4,3.6,17.2,34534
881,2424,139462,24,31,6,19.5,20.1,4.4,21.6,39060
881,2450,114852,13,10,7,9.7,4.8,5.4,22.7,35959
881,2460,114856,5,11,3,5,6.3,1.1,24.4,37500
881,2473,114861,18,12,11,14.4,8.1,6.7,17.6,35418
881,2481,114863,12,17,4,10.8,10.9,3.1,19,35722
881,2483,114864,13,25,4,11.7,12.6,2.1,18.9,34506
881,2500,114869,4,4,3,3.2,2.3,2,10.3,36022
881,2503,114872,27,32,6,23.8,15.8,4.5,18.2,34671
881,2510,114875,13,15,3,11.8,8.2,2.1,20.2,39215
881,2520,141714,13,10,3,11.1,4.6,2.7,19,35810
881,2521,114879,15,16,2,10.5,7.5,1.6,23.1,38122
881,2529,114882,9,25,3,7.7,8.4,1.5,23,38512
881,2541,114884,10,15,4,7.7,5.5,2.6,23.4,39453
881,2548,114886,11,10,5,9.7,5.4,2.3,23,36804
881,2549,114887,12,23,5,8.4,8.6,2.7,20.8,36133
881,2550,114888,10,13,5,8.2,7.6,2.4,15.4,NA
881,2551,114889,32,38,4,26.5,23.4,3.3,17.2,37234
881,2557,114891,9,13,5,9,9.8,4.1,24.7,34121
881,2559,141573,18,28,3,16,16,2.9,21.9,36852
881,2568,114894,13,9,2,11.8,6.5,2,17.3,32424
881,2569,114895,16,39,7,13.6,13.9,4.3,21.1,36280
881,2578,137108,37,22,29,33.3,15.1,22.5,17.4,32543
881,2579,114898,10,13,6,8.8,4.7,2.5,23.5,38655
881,2581,114899,16,14,6,13.9,11.7,4.8,16.9,33883
881,2588,114902,26,12,11,19.9,6.7,6.3,21.1,35376
881,2589,114903,14,15,3,10.8,6.9,2.9,25.3,35143
881,2590,114904,11,8,4,7.6,3.4,2.3,20.3,37495
881,2591,114905,9,11,7,7.4,8.4,3.9,24.1,33426
881,2598,137226,23,21,21,18.3,14.1,11.9,23,38106
881,2599,114909,9,10,4,6.6,5.1,1.6,20.6,37101
881,2601,114910,17,16,3,14.1,8.1,2.5,18.4,32233
881,2606,114912,23,9,5,21.5,6.3,2.5,14.8,34145
881,2609,114913,13,6,4,9.7,3,2.9,27.8,34820
881,2611,114914,14,25,4,12.3,13.5,2.4,17.6,34895
881,2616,114915,18,22,6,16.3,10.4,3.1,18.1,35493
881,2619,114917,12,18,8,9.1,5.4,3.8,19.8,37608
881,2620,140744,12,19,4,9.9,6.2,2.7,21.4,42749
881,2621,114919,12,14,4,11,9,2.6,17.2,36104
881,2624,114921,9,9,2,8.2,5.5,2,15.5,34439
881,2625,114922,13,22,7,12,13.5,3.3,19.2,37717
881,2629,114924,11,12,5,9.2,6.3,2.9,21.2,34947
881,2630,114925,12,33,6,9.3,8.6,2.6,22.4,35295
881,2640,114929,8,9,2,8,4.4,1.6,20.4,34562
881,2647,114932,9,7,3,9,3,1.9,18.3,38025
881,2649,114933,24,44,5,19.8,14.1,2.9,21.1,35408
881,2655,114935,21,27,3,20.2,15,3,19.5,34812
881,2656,114936,18,19,4,14.3,7.2,3.2,20.5,34126
881,2659,114937,13,16,4,10.1,7,2.8,22.4,35994
881,2660,114938,9,13,3,6.7,7,1.8,22.6,41964
881,2665,114939,21,26,7,20.1,19.7,6,18.9,33978
881,2666,141715,10,6,3,8.4,3.9,1.6,11.7,29436
881,2669,114941,18,25,11,15.8,11.8,5.2,20.4,35554
881,2671,114942,10,13,2,8.8,7.2,1.2,21.7,38921
881,2679,114944,15,20,3,12.7,12.9,2.3,18.8,35757
881,2680,114945,9,18,3,8.8,6.2,1.9,20.8,35380
881,2681,114946,13,8,12,12.1,5.6,5.7,19.8,33991
881,2685,114948,9,9,7,8.7,3.6,4.7,22.1,35621
881,2686,114949,14,14,6,12,10.1,4.7,18.5,37946
881,2687,141572,16,20,6,13.6,8.6,3.3,19,33787
881,2690,114952,11,11,1,9.7,7.3,0.9,22.6,34575
881,2696,137220,15,8,13,10.2,3.7,8.3,20.5,36016
881,2699,139871,23,25,6,20.2,13.4,4.4,15.1,33949
881,2700,114958,9,8,12,7.8,4.6,8.9,27.3,40485
881,2707,114962,12,10,3,10.5,7.5,2.5,17.3,40317
881,2710,114964,8,9,3,5,5.3,1,18.6,36037
881,2717,141574,11,8,4,8.5,5.4,2.2,21.2,NA
881,2720,114967,10,13,5,9,3.2,3.3,19.2,43253
881,2729,114969,10,16,2,7.3,7.9,1.3,22.5,35564
881,2730,114970,8,5,2,5.6,3.8,1.6,19.7,35859
881,2733,114972,12,16,5,11.1,8.3,2.6,24.3,39826
881,2737,114974,11,11,2,8.7,4.7,1.6,20.7,38666
881,2740,114975,12,13,3,9.5,6,2.2,21.1,40280
881,2747,114978,13,3,33,11.8,2.1,20.8,20.8,37700
881,2750,114979,6,7,2,2.8,3.9,1.2,37.2,NA
881,2751,114980,10,10,2,7.5,6.5,1.8,24,36730
881,2757,114983,10,15,3,9.8,9.8,1.6,15.5,33195
881,2759,114984,22,31,6,19.1,15.2,4.5,18.7,35026
881,2760,114985,10,7,2,8.4,3.6,1.5,18.3,36797
881,2767,114988,32,42,6,27.5,19.6,4.8,21.7,35945
881,2769,114989,15,25,10,13.1,10.8,7.4,22.9,36525
881,2770,114990,6,7,1,4.8,3.6,1,16.3,NA
881,2779,114992,15,22,4,11.3,7.2,2.5,22.7,36486
881,2781,114993,33,42,10,28.6,28.6,6.6,21.5,36334
881,2785,141304,18,42,10,16.9,17.6,7.5,22.4,37720
881,2786,114995,27,51,9,24.6,27.7,8.2,21.1,35071
881,2789,114996,19,14,6,10,5.2,3,20.6,36361
881,2798,114999,24,39,6,21.1,25.6,4.5,19.7,35029
881,2799,115000,13,9,3,9.8,6.1,1.6,18.4,33566
881,2810,115007,7,9,5,6.5,6.5,3.5,NA,36443
881,2811,137631,17,8,8,14.4,5.1,3.6,25.2,32830
881,2821,115012,24,22,13,17.8,12,4.3,23.6,36626
881,2823,115013,16,9,7,14,5.9,2.3,21.2,34290
881,2833,115016,20,19,8,17.8,13.9,6,19.4,NA
881,2838,115018,14,23,3,11.3,12.3,1.8,20.5,34408
881,2839,115019,19,22,5,16.4,9.8,4,22,35233
881,2840,115020,9,8,1,6.2,4.2,1,17.2,34722
881,2850,137607,21,24,6,18.3,15.4,3.1,23.6,33089
881,2853,115023,17,37,6,16.6,20.3,4.4,24.7,34543
881,2873,115026,18,17,6,13.8,10.7,3.8,22.8,36308
881,2879,115027,27,78,6,21.7,26.2,4.9,22,33789
881,2880,115028,19,28,8,18.8,17.6,4.5,20.5,38027
881,2891,137245,19,16,9,14.5,7.8,4.1,21,37428
881,2899,115035,10,16,3,9.6,9.3,2.5,19.1,35188
881,2900,115036,20,22,5,18.2,11.7,4.6,21.3,33042
881,2901,137054,11,18,6,10.6,11.2,3.3,21.7,37183
881,2911,115039,17,22,3,12.2,11.5,2.2,17.4,33672
881,2915,137030,10,20,8,9,6.7,4.3,22.9,36699
881,2918,115041,14,22,7,10.1,9.1,3.7,20.6,36611
881,2919,115042,10,16,5,9.2,9.2,1.9,23.5,38756
881,2928,115044,14,12,10,12.4,4.9,4,21.7,38132
881,2950,115047,13,25,3,11.1,8.3,2.5,20.4,32543
881,2971,137395,16,16,4,13.2,7.9,2.9,20.5,37387
881,2973,115052,18,21,10,16.6,11.7,7.3,23.3,34707
881,2981,115054,20,17,7,17.1,10.5,4.3,20.2,36231
881,2983,115056,13,19,3,11.6,11.9,2.2,17,NA
881,2994,142254,15,23,6,11.3,11.4,4.8,23.8,36329
881,2998,115062,22,36,27,19.2,13.3,14.9,21.1,33063
881,2999,139543,24,35,10,20.6,15.5,6.5,21.7,31244
881,3001,115064,12,10,4,9.1,4.1,3.1,23,36262
881,3003,115065,13,16,9,9.7,7.5,5.5,25.1,38661
881,3006,115066,16,13,4,12,8.1,2.9,21.1,36067
881,3008,115067,3,3,6,2.8,1.5,2.5,17.9,SUPP
881,3009,115068,5,11,1,4.8,6.3,0.9,18.4,36987
881,3010,115069,10,7,6,8,4.4,3.9,18.4,34454
881,3013,115070,13,17,7,10.2,6.5,4.2,20.3,38092
881,3015,115071,5,4,3,5,1.9,1.5,15,36248
881,3018,115072,9,12,3,9,8.6,2.1,19.7,33575
881,3019,115073,7,10,2,6.1,3.4,1.3,16.5,NA
881,3020,115074,12,16,5,9.8,7.2,2.8,21.5,45743
881,3021,115075,9,5,2,6.2,1.7,1.3,19.4,38364
881,3022,115076,11,10,7,9.6,6.3,3.1,20.9,35855
881,3023,115077,9,17,3,8,7.6,2,24.8,37613
881,3024,115078,8,13,2,6.3,6.2,1.5,21.4,37711
881,3025,115079,4,6,2,2.6,3,1.1,16.9,53847
881,3026,115080,14,10,2,12.3,7.2,1.9,17.1,38295
881,3027,115081,9,10,2,9,5.1,1.7,21,34551
881,3028,115082,19,32,9,14.6,13.6,5.2,21.1,NA
881,3029,115083,18,22,6,15.7,10.7,4,25.7,38742
881,3030,115084,8,10,2,6.2,7.2,1.4,18.2,47508
881,3032,115085,8,8,2,5.4,4.7,1.3,22,39376
881,3040,115088,11,14,5,9.1,8.6,2.8,23,36030
881,3101,137744,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS
881,3102,115090,8,7,3,7.4,3.5,2.2,19.6,33276
881,3103,115091,5,12,3,5,4.9,2.3,21.2,37280
881,3122,115094,26,30,5,22.3,15.8,3.6,18.1,32347
881,3123,115095,13,12,2,10.1,6.8,1.7,19.5,37435
881,3124,115096,8,7,1,5.7,2.6,1,17.5,40786
881,3125,115097,10,9,3,8.4,5.7,2.1,20.5,36822
881,3128,115098,11,15,4,9.8,9,2.1,21.3,38577
881,3131,115099,7,7,3,5.6,4.3,1.8,19.3,38131
881,3132,115100,11,54,5,9.5,19.5,2.8,25.1,41649
881,3133,115101,16,26,6,10.7,12.6,4.5,19.2,35376
881,3201,115103,22,27,5,18.3,12.3,3.2,18.2,33937
881,3205,115105,5,4,4,4.2,1.6,2.4,23.8,36678
881,3207,115106,11,16,3,7.8,6.8,2.2,22.1,40578
881,3208,115107,4,4,3,3,2.5,1.6,14.7,30675
881,3209,115108,19,18,3,15.3,10.4,2.1,21,36177
881,3211,139360,17,27,7,15.2,13,5.1,24.4,36874
881,3212,115110,6,3,5,5,1.9,2.7,17,36417
881,3213,115111,6,12,5,5.2,5.7,2.2,21,37303
881,3214,115112,13,16,5,10,7.3,2,21.6,34546
881,3215,115113,10,8,4,5.8,3.2,2.2,18.7,33438
881,3217,115114,13,12,4,8,5.1,2.4,20.1,36849
881,3218,115115,5,4,4,4.2,1.6,2.2,18.6,41014
881,3220,115116,6,4,2,4.2,2.5,1.4,15.4,42363
881,3221,115117,6,6,1,6,4,0.5,17.3,35480
881,3222,115118,7,8,3,5.4,4.2,0.9,18.7,34184
881,3224,115119,13,19,8,10.5,7,3.5,22.1,41666
881,3225,115120,12,8,2,8,4.7,1.9,25,38862
881,3230,142252,6,5,2,6,3.1,1.7,16.5,33837
881,3232,115122,8,10,6,6.8,4.4,2.8,16.5,34300
881,3235,115123,7,8,4,5.3,5.1,2.5,18.9,37833
881,3237,115124,14,12,2,10.4,7.3,1.6,21,37607
881,3238,115125,9,5,2,7.4,3,1.4,15.8,38076
881,3239,115126,5,7,2,5,3.4,1.2,17.8,35479
881,3241,115127,8,7,2,7.2,4.1,1.4,14.4,NA
881,3243,115128,10,9,2,6.6,4.3,1.3,18.8,35232
881,3244,115129,13,8,4,10,6.1,3.6,22.3,33841
881,3247,115130,9,8,2,5.6,4.9,1.2,16.4,36976
881,3250,142253,27,65,14,25.3,20.6,5.7,22.4,34303
881,3251,132234,12,12,4,10.6,7.5,2.3,18.6,36670
881,3252,132262,28,40,9,25.5,26.5,5.8,19.6,34597
881,3253,132833,23,34,6,21.9,25.8,3.9,17.7,34476
881,3254,133255,22,43,11,19.2,20.4,8.2,23.2,39802
881,3255,133341,22,29,6,21.2,22.9,5.6,17.9,35599
881,3256,133254,13,24,6,12.2,9.9,2.9,20.2,35687
881,3257,133312,19,12,15,14.7,7,9.3,21.2,35169
881,3301,115131,19,26,5,17.5,19.7,3.6,23,32936
881,3302,115132,7,11,3,5.9,5.3,1.8,19,36793
881,3303,115133,12,19,4,9.4,9.7,2,24.7,34592
881,3304,115134,8,5,2,6.3,3.4,0.8,13,35065
881,3305,115135,7,9,3,5.2,5.1,2.1,20.3,39032
881,3308,115137,6,7,2,5.5,3.3,1.1,15.2,36250
881,3309,115138,6,5,1,5.2,3.6,1,27.3,39492
881,3310,115139,8,9,2,5.6,4.2,0.7,16.6,NA
881,3314,115141,8,9,2,6.1,4.8,1.4,15.3,37170
881,3319,115142,8,5,4,6.3,2.2,2.7,13.7,32895
881,3321,138311,12,12,4,9.4,7.4,3.2,23.5,37486
881,3324,115144,13,17,4,9.5,8.2,2.9,21.7,37869
881,3401,115150,13,16,3,12,6.7,2.2,16.4,35267
881,3402,115151,11,18,3,8.7,6.2,1.8,23.7,38689
881,3411,115152,14,13,4,9.5,7.6,3.3,22.2,35563
881,3422,115154,13,10,8,8.9,6,3.3,24.5,35196
881,3430,115155,10,16,2,9,7.7,1.7,23.2,32061
881,3431,115156,11,18,4,10.6,11.9,3,23.4,39400
881,3440,115157,22,27,5,18.3,14.5,3.4,22.8,37378
881,3441,115158,10,8,20,9.4,3.6,8.8,21.7,37934
881,3450,115159,20,32,4,10.4,7.7,2.3,18.3,36948
881,3451,115160,11,10,14,9.7,6.6,10.4,18.6,35080
881,3452,139763,20,23,8,17.7,9.9,4.6,23.6,38069
881,3460,137544,7,8,3,6.4,3.8,2.3,16.9,37515
881,3461,115163,23,25,6,16.9,11.7,3.3,23.9,38626
881,3462,115164,21,26,9,16.1,9.8,3.1,20,41516
881,3467,115165,12,16,2,9.2,6.9,0.9,22.5,37961
881,3470,115166,6,11,4,5.2,5,2.5,17.4,35101
881,3471,115167,21,22,6,18.2,11.2,3.9,23.3,37495
881,3501,115170,11,15,4,8.6,8.4,2.5,22.8,NA
881,3530,115175,9,9,4,6.5,4.5,2.5,22.3,36497
881,3560,115176,6,5,4,4.8,3.4,2.4,15.2,38797
881,3570,115177,8,17,2,6.8,8,1.3,22.3,36418
881,3580,115178,6,16,3,5.2,3.6,1.3,21.2,39303
881,3592,115179,19,18,4,12.7,8.4,2.2,24.3,NA
881,3610,115182,9,12,2,6.9,5.8,1.7,24.5,33915
881,3612,115183,9,12,2,8.1,6.3,1.6,25.8,38982
