"Variable","Label","Type","Description"
"LA","Local Authority Number","",""
"URN","Unique Reference Number","",""
"NTEA","Total headcount of teachers ","INTEGER",""
"NTEAAS","Total headcount of teaching assistants","INTEGER",""
"NNONTEA","Total headcount of support staff","INTEGER",""
"NFTETEA","Number of teachers (full-time equivalent)","FLOAT1",""
"NFTETEAAS","Number of teaching assistants (full-time equivalent)","FLOAT1",""
"RATPUPTEA","Pupil:teacher ratio","FLOAT1",""
"SALARY","Mean gross salary of full-time teachers","INTEGER",""
