LA,URN,NTEA,NTEAAS,NNONTEA,NFTETEA,NFTETEAAS,NFTENONTEA,RATPUPTEA,SALARY
928,135966,86,41,35,82.4,28.5,30.1,16.0,37074
928,135967,0,NA,NA,0.0,NA,NA,NA,NA
928,136201,82,29,28,73.9,23.8,25.3,19.9,40564
928,122157,23,41,8,21.6,36.4,6.9,6.1,44646
928,122158,13,32,5,11.9,24.9,4.0,6.9,47260
928,122160,16,54,5,14.8,43.9,3.6,7.1,38807
928,137354,22,41,12,21.0,32.5,9.7,9.3,40495
928,122162,14,15,4,13.8,12.9,3.5,6.0,47746
928,122163,16,37,4,15.1,31.6,4.0,7.2,40384
928,122164,37,51,6,32.6,41.8,5.6,6.3,40274
928,122166,16,35,6,14.8,27.9,4.3,7.4,42180
928,122167,9,14,4,8.5,13.0,2.3,4.7,44133
928,130957,29,30,6,26.8,24.8,4.1,6.4,40851
928,131079,17,53,9,15.8,31.9,4.0,7.2,39785
928,131186,22,26,6,17.3,22.7,5.7,5.5,43478
929,122170,6,5,1,4.9,2.5,0.3,11.9,36964
929,122171,5,6,1,4.7,2.8,0.6,19.5,37032
929,122172,10,13,2,9.2,7.5,1.4,24.2,42001
929,122173,6,8,1,6.0,4.4,0.8,19.2,36079
929,122174,7,6,1,7.0,3.3,0.9,17.4,35772
929,122176,14,15,2,11.6,9.3,1.6,24.7,36523
929,122177,7,6,3,7.0,3.7,2.4,21.3,36858
929,122178,7,8,1,6.8,4.1,0.7,17.2,37090
929,122179,4,3,1,3.5,2.1,0.5,13.4,SUPP
929,122180,5,7,2,4.6,4.0,1.4,15.9,SUPP
929,122181,8,8,1,7.9,5.2,0.9,21.1,33263
929,122183,3,2,2,2.5,1.2,0.6,18.4,SUPP
929,122184,5,3,1,3.6,1.8,0.5,18.9,SUPP
929,122185,6,6,1,6.0,2.4,0.7,21.0,35387
929,122186,8,9,2,6.7,4.2,0.9,21.7,36477
929,122187,9,13,1,7.7,6.3,0.9,19.9,34593
929,122188,2,1,1,1.3,0.3,0.4,6.3,SUPP
929,122189,7,6,2,6.2,3.7,0.9,22.9,36321
929,122190,3,1,1,2.0,0.2,0.7,12.5,SUPP
929,122191,13,14,2,9.9,8.3,1.3,19.7,42904
929,122193,12,14,2,12.0,7.2,0.9,18.9,34935
929,122194,20,24,5,17.0,14.9,2.0,21.2,35809
929,122195,7,8,2,7.0,4.2,1.0,20.4,37121
929,122196,6,5,1,4.9,2.6,0.6,15.3,SUPP
929,122197,7,4,1,6.7,2.4,1.0,15.4,38068
929,122198,9,13,2,8.4,7.8,1.3,22.1,36376
929,122199,3,1,1,2.1,0.5,0.7,10.1,SUPP
929,122201,11,11,2,10.0,6.0,1.5,20.9,34081
929,122202,5,3,1,3.8,1.7,0.5,18.7,SUPP
929,122203,7,11,4,6.7,6.0,0.9,17.2,38908
929,122210,16,13,2,13.5,6.4,1.6,23.8,37684
929,122211,2,3,1,1.2,1.2,0.4,6.7,SUPP
929,122214,5,4,1,4.2,2.9,0.9,19.0,35492
929,122215,4,2,1,3.3,1.1,0.6,15.9,SUPP
929,122216,9,5,2,9.0,2.9,0.9,17.3,36008
929,122217,16,16,2,14.3,9.4,1.7,25.7,35295
929,122218,7,7,3,6.5,2.9,1.6,20.4,39267
929,122219,5,5,1,4.0,1.8,0.7,15.5,SUPP
929,122220,15,17,7,13.0,9.6,5.0,24.7,39262
929,122221,7,7,1,6.2,2.7,0.7,18.2,SUPP
929,122222,3,2,1,3.0,1.1,0.7,23.3,SUPP
929,122223,10,13,2,9.2,7.2,1.9,20.4,34377
929,122224,7,5,2,6.5,3.1,1.7,19.3,40966
929,122225,6,6,2,5.6,3.3,0.9,19.4,40004
929,122226,4,3,1,2.9,0.7,0.5,15.2,SUPP
929,122227,7,6,2,3.7,1.5,1.4,15.1,SUPP
929,122228,4,3,1,4.0,1.7,0.6,15.0,32081
929,122230,6,4,1,5.9,2.2,0.7,16.1,38037
929,122232,3,3,1,2.2,0.7,0.5,15.0,SUPP
929,122233,4,1,1,2.0,0.2,0.2,5.0,SUPP
929,122234,9,7,1,7.4,4.8,0.9,21.3,36342
929,122235,4,5,1,3.2,2.5,0.8,22.0,SUPP
929,122236,6,7,3,4.9,3.7,1.3,20.0,34916
929,122237,9,7,1,6.8,2.6,0.9,21.0,40804
929,122238,7,6,1,5.4,3.0,0.7,19.4,SUPP
929,122239,18,13,3,14.8,8.8,2.3,24.4,33622
929,122240,4,2,1,3.7,1.3,0.5,15.6,SUPP
929,122242,19,16,3,17.3,10.3,2.1,26.0,35545
929,122243,12,15,3,10.3,8.1,0.8,23.2,37643
929,122244,4,3,1,4.0,1.3,0.5,13.5,34934
929,122245,17,18,2,13.7,11.4,1.5,18.9,36517
929,122246,8,8,2,6.7,5.4,1.0,23.5,38341
929,122247,6,4,1,6.0,2.9,0.8,14.2,33375
929,122248,4,7,1,3.5,3.6,0.6,18.5,SUPP
929,122249,3,NA,1,1.7,NA,0.4,1.4,NA
929,122254,22,13,4,21.7,8.6,3.9,17.4,34497
929,122255,25,26,3,22.2,15.7,2.0,21.1,34707
929,122257,22,17,5,20.0,10.8,3.3,17.4,35252
929,122258,10,11,3,10.0,6.2,2.0,19.1,36746
929,122261,23,26,5,19.4,13.0,2.8,21.2,35258
929,122262,23,18,6,22.4,11.0,4.3,19.6,31077
929,122264,5,4,2,4.6,1.9,0.6,17.4,SUPP
929,122265,23,17,3,18.6,9.4,1.9,23.0,38227
929,122266,21,14,5,18.3,8.8,2.9,23.5,35763
929,122268,22,16,4,19.7,9.5,3.0,23.4,37793
929,122269,18,13,2,16.1,7.8,1.3,21.1,37069
929,131021,22,23,5,20.8,15.2,3.7,22.0,31524
929,122270,3,2,1,2.2,1.0,0.6,8.7,SUPP
929,122271,5,9,1,4.6,3.9,0.9,23.9,39951
929,122272,3,3,1,2.0,1.2,0.5,19.5,SUPP
929,122273,5,4,1,2.8,1.8,0.7,21.6,SUPP
929,122274,7,5,1,5.2,2.9,0.7,20.2,SUPP
929,122275,8,5,2,6.2,3.3,0.9,19.6,35924
929,122276,5,2,1,3.0,1.1,0.7,10.4,SUPP
929,122277,6,6,2,6.0,3.5,1.1,19.2,37324
929,122278,8,6,3,6.3,2.6,1.2,21.7,SUPP
929,122279,3,2,1,2.7,1.1,0.6,17.0,SUPP
929,122280,9,10,1,8.1,6.6,0.9,20.7,39737
929,122281,12,19,2,12.0,8.5,1.9,24.0,37908
929,122282,8,9,2,6.8,4.8,1.3,22.1,42029
929,122283,5,NA,5,3.8,NA,2.1,20.1,SUPP
929,122284,5,1,1,2.9,0.5,0.7,12.3,NA
929,122285,5,4,1,3.0,2.0,0.6,21.7,SUPP
929,122287,9,8,1,6.9,4.6,0.9,23.8,39161
929,122289,3,3,2,2.8,1.4,0.7,14.7,SUPP
929,122290,3,2,1,2.2,1.0,0.5,14.1,SUPP
929,122291,6,4,2,4.3,1.3,0.8,13.3,SUPP
929,122292,4,2,1,2.3,0.7,0.5,10.6,SUPP
929,122293,4,2,1,2.8,1.1,0.5,11.6,SUPP
929,122294,1,NA,NA,1.0,NA,NA,6.0,SUPP
929,122295,3,3,1,2.4,1.1,0.6,12.7,SUPP
929,122297,9,6,1,8.4,3.1,0.8,16.2,36232
929,122298,6,6,1,4.1,2.9,0.6,18.0,SUPP
929,122299,4,5,NA,2.7,1.9,NA,15.2,SUPP
929,122300,5,2,2,2.7,0.9,0.5,13.3,NA
929,122301,7,5,1,5.1,1.7,0.9,14.8,SUPP
929,122302,4,2,1,3.2,1.1,0.4,13.1,SUPP
929,122303,2,1,1,2.0,0.6,0.5,11.8,SUPP
929,122304,13,8,2,11.8,4.2,1.2,24.5,39160
929,122305,7,6,1,6.6,2.5,0.9,18.3,33345
929,122306,3,2,1,3.0,1.1,0.8,16.3,SUPP
929,122307,10,12,1,8.9,6.9,0.8,22.1,37925
929,122308,10,9,2,9.5,6.5,1.3,22.0,39164
929,122309,4,5,1,3.8,3.0,0.6,21.4,SUPP
929,122310,7,6,1,5.7,4.2,0.9,24.9,36975
929,122311,6,7,2,5.7,4.5,1.0,21.5,38249
929,122312,7,7,1,6.0,4.2,0.9,21.7,36043
929,122313,5,8,3,5.0,4.0,1.4,21.0,37736
929,134473,19,18,3,17.8,9.3,1.5,19.5,36856
929,135064,3,1,1,2.2,0.6,0.3,13.6,SUPP
929,128090,6,2,1,3.1,0.8,0.6,7.7,SUPP
929,131221,4,3,1,3.3,1.5,0.7,14.9,SUPP
929,135634,5,5,2,4.6,2.9,0.8,18.5,40389
929,122314,25,8,4,23.6,4.3,2.8,21.6,36400
929,122315,9,4,3,6.6,2.3,2.0,15.4,33250
929,122317,10,6,3,8.4,2.7,1.8,16.0,43511
929,122323,26,14,9,23.2,9.1,5.9,20.4,31448
929,122324,18,8,3,16.8,5.2,2.3,19.7,39807
929,122325,5,6,2,5.0,4.8,1.8,19.6,32911
929,122326,19,6,4,15.9,3.6,2.7,21.4,41073
