URN,COHORT,OVERALL,FEC,OTHERFE,SSF,SFC,APPREN,HEI,COMBO,KNOWN,UNKNOWN,OVERALLPER,FECPER,OTHERFEPER,SSFPER,SFCPER,APPRENPER,HEIPER,COMBOPER,KNOWNPER,UNKNOWNPER
137312,140,130,30,SUPP,80,20,5,0,0,5,5,93%,22%,SUPP,57%,14%,2%,0%,0%,4%,3%
136387,170,130,55,5,5,65,10,0,0,20,20,77%,33%,3%,2%,38%,6%,0%,0%,11%,12%
132083,150,130,30,SUPP,5,100,5,0,0,10,10,89%,19%,SUPP,3%,66%,2%,0%,0%,5%,5%
115239,130,110,25,0,20,65,SUPP,0,0,5,5,90%,22%,0%,18%,51%,SUPP,0%,0%,5%,5%
115353,220,170,85,5,5,80,5,0,0,25,20,79%,38%,3%,2%,36%,3%,0%,0%,12%,9%
137214,230,200,75,10,SUPP,110,15,0,0,25,10,85%,33%,3%,SUPP,48%,6%,0%,0%,10%,4%
136854,240,200,75,5,15,110,15,SUPP,SUPP,20,20,84%,30%,2%,6%,45%,7%,SUPP,SUPP,7%,8%
137456,200,160,50,5,10,95,10,0,0,30,10,80%,25%,2%,5%,49%,5%,0%,0%,15%,5%
137364,160,110,40,5,0,70,10,0,0,25,20,72%,24%,3%,0%,45%,5%,0%,0%,15%,12%
133114,170,130,55,5,20,45,10,0,SUPP,30,10,75%,33%,2%,12%,27%,5%,0%,SUPP,18%,7%
135960,120,90,40,5,25,25,5,0,SUPP,20,10,75%,32%,3%,19%,20%,3%,0%,SUPP,18%,8%
116930,60,50,25,5,0,15,5,0,0,5,5,85%,44%,11%,0%,31%,5%,0%,0%,7%,7%
116935,180,160,70,20,0,65,15,0,0,5,10,89%,40%,12%,0%,37%,8%,0%,0%,4%,7%
116936,200,170,65,10,SUPP,95,10,0,0,10,10,88%,34%,6%,SUPP,47%,5%,0%,0%,6%,6%
137073,130,120,55,5,SUPP,55,5,0,0,5,10,90%,42%,3%,SUPP,43%,5%,0%,0%,3%,7%
116940,90,70,20,5,20,20,SUPP,0,0,5,10,79%,26%,6%,24%,23%,SUPP,0%,0%,8%,13%
116941,130,120,30,10,40,35,10,0,SUPP,10,SUPP,90%,22%,7%,33%,27%,6%,0%,SUPP,9%,SUPP
116944,80,70,30,SUPP,SUPP,35,5,0,0,5,5,86%,37%,SUPP,SUPP,47%,4%,0%,0%,5%,9%
116952,90,80,30,10,SUPP,30,10,0,0,5,10,86%,34%,14%,SUPP,36%,9%,0%,0%,5%,9%
136405,90,80,30,SUPP,0,45,SUPP,0,0,5,5,88%,33%,SUPP,0%,53%,SUPP,0%,0%,5%,8%
136803,150,140,45,5,75,10,5,0,SUPP,10,5,91%,28%,4%,50%,8%,2%,0%,SUPP,6%,3%
136399,200,170,55,10,100,5,15,0,SUPP,20,10,85%,27%,4%,50%,3%,8%,0%,SUPP,10%,5%
116991,240,200,60,10,SUPP,135,5,0,0,5,25,87%,26%,3%,SUPP,57%,2%,0%,0%,3%,10%
116992,130,120,25,5,5,80,5,SUPP,0,10,10,87%,19%,4%,2%,61%,4%,SUPP,0%,6%,7%
135662,130,100,25,15,35,15,10,0,5,25,10,73%,20%,12%,26%,12%,8%,0%,2%,18%,9%
135672,20,20,5,0,SUPP,10,0,0,0,SUPP,5,75%,30%,0%,SUPP,40%,0%,0%,0%,SUPP,15%
135035,160,130,50,5,55,20,15,0,0,15,10,85%,33%,3%,35%,14%,10%,0%,0%,9%,6%
116928,230,180,90,5,80,10,15,0,SUPP,25,15,82%,39%,3%,35%,4%,6%,0%,SUPP,12%,6%
116929,320,290,100,10,170,10,15,0,0,20,10,91%,32%,2%,54%,3%,5%,0%,0%,6%,4%
137162,220,180,65,5,95,15,15,0,0,35,15,79%,30%,1%,42%,6%,7%,0%,0%,15%,6%
136927,290,240,75,10,120,35,5,0,0,35,20,82%,26%,3%,41%,12%,2%,0%,0%,11%,6%
116932,230,190,80,5,105,SUPP,5,0,0,15,15,85%,35%,2%,47%,SUPP,3%,0%,0%,8%,7%
135062,170,140,70,5,60,5,10,0,0,20,15,80%,40%,2%,34%,3%,6%,0%,0%,12%,8%
136898,170,160,15,SUPP,130,5,5,0,0,10,5,92%,10%,SUPP,77%,4%,2%,0%,0%,5%,3%
136924,180,150,70,SUPP,40,40,5,0,SUPP,15,10,85%,39%,SUPP,22%,23%,3%,0%,SUPP,8%,7%
116942,270,230,75,5,130,25,5,0,0,25,15,85%,27%,2%,47%,9%,3%,0%,0%,10%,5%
136925,240,210,75,5,110,25,5,0,0,10,20,87%,30%,1%,46%,10%,2%,0%,0%,5%,8%
116950,80,70,25,SUPP,SUPP,40,10,0,0,5,5,87%,33%,SUPP,SUPP,50%,10%,0%,0%,6%,7%
116951,170,160,70,5,70,10,10,0,0,15,5,90%,41%,2%,41%,6%,6%,0%,0%,7%,2%
136890,190,160,85,10,0,60,5,0,0,25,10,81%,43%,6%,0%,32%,3%,0%,0%,14%,5%
137051,270,220,70,5,0,145,5,SUPP,0,35,10,82%,26%,2%,0%,54%,2%,SUPP,0%,13%,4%
136897,140,120,45,SUPP,10,65,5,0,0,15,5,85%,31%,SUPP,6%,46%,4%,0%,0%,11%,4%
137167,230,190,90,15,85,SUPP,10,0,SUPP,20,15,86%,40%,7%,37%,SUPP,5%,0%,SUPP,8%,6%
132823,280,250,135,10,110,5,10,0,0,20,10,90%,47%,3%,39%,1%,3%,0%,0%,6%,4%
137101,150,130,50,5,65,10,5,0,0,15,10,83%,32%,3%,43%,5%,4%,0%,0%,10%,7%
135060,220,180,80,5,95,5,15,0,SUPP,20,15,84%,35%,3%,43%,2%,7%,0%,SUPP,10%,6%
135061,160,140,65,5,60,15,10,0,0,15,10,85%,39%,2%,36%,8%,7%,0%,0%,9%,6%
116993,210,180,75,10,5,90,15,0,0,20,10,85%,35%,5%,1%,43%,7%,0%,0%,9%,6%
116994,170,160,35,0,105,10,5,0,5,5,5,93%,22%,0%,63%,7%,4%,0%,2%,3%,4%
137186,150,130,45,5,50,30,5,0,0,15,5,84%,31%,2%,33%,18%,3%,0%,0%,11%,5%
116997,210,180,75,5,100,0,10,0,SUPP,25,5,87%,36%,1%,49%,0%,4%,0%,SUPP,12%,1%
116999,210,180,50,5,5,120,10,0,0,10,15,87%,24%,3%,2%,57%,4%,0%,0%,6%,8%
136469,300,270,105,5,155,10,5,0,0,15,20,89%,34%,1%,51%,3%,2%,0%,0%,5%,7%
135913,160,120,45,10,50,15,5,0,SUPP,25,15,76%,29%,6%,31%,9%,2%,0%,SUPP,16%,8%
118785,150,130,45,10,75,SUPP,10,0,SUPP,10,10,85%,29%,5%,49%,SUPP,6%,0%,SUPP,7%,7%
136304,100,80,50,SUPP,25,SUPP,5,0,SUPP,15,5,79%,51%,SUPP,24%,SUPP,6%,0%,SUPP,14%,7%
118788,190,170,55,5,105,0,5,0,SUPP,15,15,86%,30%,3%,53%,0%,2%,0%,SUPP,7%,7%
118789,140,140,5,0,130,0,0,0,0,5,SUPP,95%,5%,0%,90%,0%,0%,0%,0%,3%,SUPP
118790,190,170,10,SUPP,160,0,SUPP,0,0,5,10,93%,6%,SUPP,86%,0%,SUPP,0%,0%,2%,5%
136455,150,140,15,0,130,0,SUPP,0,0,5,5,93%,8%,0%,84%,0%,SUPP,0%,0%,4%,3%
136582,170,170,10,SUPP,155,0,SUPP,0,0,5,0,97%,5%,SUPP,91%,0%,SUPP,0%,0%,3%,0%
118793,150,120,65,5,45,0,5,SUPP,SUPP,15,15,80%,45%,3%,31%,0%,4%,SUPP,SUPP,11%,9%
118796,160,120,60,5,50,0,10,0,SUPP,20,20,73%,38%,4%,30%,0%,6%,0%,SUPP,13%,14%
136305,140,130,10,0,120,0,SUPP,0,SUPP,5,5,92%,7%,0%,84%,0%,SUPP,0%,SUPP,5%,3%
118803,190,150,45,5,95,0,5,0,5,20,15,81%,24%,3%,52%,0%,3%,0%,2%,10%,9%
136379,180,170,10,SUPP,160,SUPP,SUPP,0,0,10,SUPP,94%,5%,SUPP,88%,SUPP,SUPP,0%,0%,4%,SUPP
118805,140,130,25,SUPP,105,0,5,0,0,5,SUPP,94%,17%,SUPP,76%,0%,2%,0%,0%,5%,SUPP
118806,110,110,5,0,100,0,SUPP,0,SUPP,SUPP,SUPP,96%,6%,0%,89%,0%,SUPP,0%,SUPP,SUPP,SUPP
118807,190,160,70,SUPP,85,0,5,0,SUPP,20,15,83%,36%,SUPP,45%,0%,4%,0%,SUPP,10%,7%
136385,120,110,10,SUPP,95,0,5,0,SUPP,SUPP,5,95%,10%,SUPP,83%,0%,3%,0%,SUPP,SUPP,3%
136584,140,120,75,5,40,0,10,0,0,15,10,82%,52%,2%,28%,0%,6%,0%,0%,12%,6%
118815,130,110,45,5,60,0,10,0,0,10,15,83%,34%,2%,46%,0%,9%,0%,0%,7%,10%
136571,180,130,65,5,55,0,5,0,SUPP,15,35,71%,38%,2%,31%,0%,2%,0%,SUPP,9%,19%
136583,220,170,35,5,125,0,5,0,0,30,25,75%,15%,2%,57%,0%,2%,0%,0%,15%,10%
136300,120,100,40,SUPP,60,0,SUPP,0,SUPP,10,5,88%,35%,SUPP,51%,0%,SUPP,0%,SUPP,7%,5%
118829,130,110,65,5,40,SUPP,10,0,0,5,15,84%,50%,4%,30%,SUPP,7%,0%,0%,5%,11%
137154,150,120,65,5,50,0,5,0,SUPP,20,5,83%,44%,5%,33%,0%,5%,0%,SUPP,13%,5%
118832,180,150,65,5,75,0,10,0,0,20,10,84%,37%,4%,43%,0%,6%,0%,0%,11%,6%
136581,180,160,55,5,95,0,10,0,SUPP,10,10,89%,32%,3%,53%,0%,5%,0%,SUPP,6%,5%
131276,110,80,65,5,10,SUPP,5,0,0,15,10,75%,61%,6%,8%,SUPP,3%,0%,0%,15%,10%
118835,170,160,10,SUPP,155,0,SUPP,0,0,5,5,96%,5%,SUPP,91%,0%,SUPP,0%,0%,2%,2%
118836,170,170,10,5,155,0,5,0,0,5,SUPP,97%,5%,2%,90%,0%,2%,0%,0%,2%,SUPP
118837,130,120,10,0,115,0,0,0,SUPP,5,5,93%,6%,0%,86%,0%,0%,0%,SUPP,2%,5%
118838,150,140,10,SUPP,130,0,SUPP,0,0,10,5,93%,8%,SUPP,84%,0%,SUPP,0%,0%,5%,2%
118840,150,150,5,0,145,0,0,0,0,5,0,97%,2%,0%,95%,0%,0%,0%,0%,3%,0%
118843,130,120,SUPP,0,120,0,SUPP,0,0,0,5,98%,SUPP,0%,96%,0%,SUPP,0%,0%,0%,2%
131583,120,110,30,5,80,0,5,0,0,5,5,93%,24%,3%,65%,0%,5%,0%,0%,4%,3%
137250,120,120,10,0,105,SUPP,SUPP,0,0,5,5,94%,10%,0%,83%,SUPP,SUPP,0%,0%,3%,2%
118873,180,150,55,10,85,0,5,0,SUPP,20,10,84%,29%,5%,48%,0%,4%,0%,SUPP,11%,6%
137227,120,100,15,0,85,0,0,0,0,10,15,81%,12%,0%,69%,0%,0%,0%,0%,7%,12%
118876,200,170,70,5,90,0,SUPP,0,0,15,20,84%,36%,2%,47%,0%,SUPP,0%,0%,7%,9%
136359,160,150,5,SUPP,140,0,SUPP,0,0,5,5,94%,2%,SUPP,91%,0%,SUPP,0%,0%,3%,3%
118879,170,130,90,15,30,SUPP,10,0,0,20,15,79%,53%,8%,18%,SUPP,7%,0%,0%,13%,8%
137484,330,270,80,10,180,0,20,0,0,25,35,81%,25%,3%,54%,0%,6%,0%,0%,8%,11%
118881,120,90,25,5,65,0,5,0,0,20,15,75%,20%,2%,52%,0%,5%,0%,0%,15%,11%
118882,170,140,45,5,90,0,5,0,0,20,15,81%,25%,3%,53%,0%,3%,0%,0%,12%,8%
118883,150,140,5,0,135,0,0,0,0,5,5,95%,3%,0%,93%,0%,0%,0%,0%,2%,3%
118884,130,120,10,SUPP,115,0,0,0,0,5,0,96%,7%,SUPP,88%,0%,0%,0%,0%,4%,0%
136324,190,170,55,10,105,0,10,0,0,15,10,87%,28%,4%,55%,0%,6%,0%,0%,8%,5%
118888,150,140,SUPP,0,140,0,SUPP,0,0,SUPP,5,97%,SUPP,0%,95%,0%,SUPP,0%,0%,SUPP,3%
118890,120,110,0,0,115,0,0,0,0,SUPP,SUPP,97%,0%,0%,97%,0%,0%,0%,0%,SUPP,SUPP
136302,170,140,50,SUPP,85,SUPP,5,0,5,20,10,81%,28%,SUPP,49%,SUPP,2%,0%,4%,13%,6%
136727,150,150,10,5,135,0,5,0,0,SUPP,SUPP,99%,6%,2%,91%,0%,3%,0%,0%,SUPP,SUPP
118897,60,40,20,0,25,0,SUPP,0,0,10,10,71%,31%,0%,40%,0%,SUPP,0%,0%,16%,13%
118898,150,140,40,10,90,0,10,0,0,5,5,94%,27%,6%,61%,0%,7%,0%,0%,4%,2%
136501,130,130,10,0,120,0,SUPP,0,0,0,0,100%,7%,0%,93%,0%,SUPP,0%,0%,0%,0%
118903,210,160,65,5,90,0,5,0,0,20,30,76%,32%,2%,42%,0%,2%,0%,0%,10%,13%
