URN,COHORT,OVERALL,FEC,OTHERFE,SSF,SFC,APPREN,HEI,COMBO,KNOWN,UNKNOWN,OVERALLPER,FECPER,OTHERFEPER,SSFPER,SFCPER,APPRENPER,HEIPER,COMBOPER,KNOWNPER,UNKNOWNPER
100049,190,160,30,SUPP,125,5,5,0,0,20,5,86%,16%,SUPP,67%,3%,2%,0%,0%,10%,4%
100050,170,150,20,5,125,5,5,0,SUPP,10,10,88%,12%,3%,72%,2%,2%,0%,SUPP,6%,5%
100051,170,150,65,5,75,0,5,0,SUPP,15,10,87%,39%,2%,45%,0%,4%,0%,SUPP,8%,5%
100052,200,170,30,SUPP,130,5,5,SUPP,0,20,15,82%,14%,SUPP,64%,2%,1%,SUPP,0%,9%,8%
100053,180,140,30,5,105,SUPP,5,0,0,15,20,80%,17%,3%,59%,SUPP,4%,0%,0%,9%,11%
100054,110,110,15,0,90,0,SUPP,0,0,SUPP,5,94%,15%,0%,79%,0%,SUPP,0%,0%,SUPP,4%
100055,150,130,30,5,85,5,SUPP,0,SUPP,15,5,87%,21%,3%,58%,5%,SUPP,0%,SUPP,10%,3%
100056,130,110,15,SUPP,85,5,SUPP,0,0,10,5,86%,12%,SUPP,70%,2%,SUPP,0%,0%,9%,6%
100059,180,170,20,0,135,15,SUPP,0,0,5,5,94%,10%,0%,76%,8%,SUPP,0%,0%,3%,3%
100182,190,160,50,5,80,30,5,0,SUPP,20,10,84%,25%,2%,42%,15%,4%,0%,SUPP,10%,6%
100183,240,200,20,5,170,5,10,0,SUPP,20,10,86%,8%,3%,73%,3%,5%,0%,SUPP,9%,5%
137473,200,170,30,5,125,10,5,0,SUPP,20,10,85%,14%,1%,63%,6%,2%,0%,SUPP,9%,6%
100187,240,210,35,5,155,15,15,0,5,15,15,88%,14%,2%,65%,6%,6%,0%,1%,7%,5%
100189,230,190,35,SUPP,150,10,5,0,0,15,20,84%,15%,SUPP,65%,4%,2%,0%,0%,6%,10%
100190,230,200,30,5,155,15,5,0,0,15,20,85%,12%,1%,67%,6%,3%,0%,0%,6%,8%
100192,190,160,40,10,100,10,5,0,0,20,10,85%,20%,4%,54%,6%,4%,0%,0%,10%,5%
100193,120,110,15,5,45,40,5,0,0,10,5,90%,15%,3%,39%,33%,3%,0%,0%,7%,3%
100195,130,110,25,0,50,30,5,0,SUPP,10,10,84%,19%,0%,41%,24%,3%,0%,SUPP,8%,8%
100196,120,110,15,0,65,30,5,0,0,5,5,91%,12%,0%,55%,24%,3%,0%,0%,4%,5%
105135,160,140,25,SUPP,40,75,5,0,0,10,5,91%,17%,SUPP,24%,49%,4%,0%,0%,7%,2%
100277,160,120,50,5,30,35,0,0,0,25,15,76%,32%,2%,20%,23%,0%,0%,0%,16%,8%
137442,160,150,30,SUPP,70,45,5,0,0,10,5,90%,20%,SUPP,43%,27%,2%,0%,0%,6%,4%
100279,240,190,75,5,85,30,5,0,0,30,15,81%,31%,1%,37%,12%,1%,0%,0%,12%,7%
133599,50,40,25,0,10,0,0,SUPP,0,SUPP,10,78%,53%,0%,22%,0%,0%,SUPP,0%,SUPP,18%
100282,120,110,15,5,70,20,SUPP,0,0,5,SUPP,94%,13%,3%,61%,18%,SUPP,0%,0%,4%,SUPP
100284,140,110,50,5,10,40,SUPP,0,0,15,15,76%,37%,3%,6%,29%,SUPP,0%,0%,12%,12%
100285,150,130,35,5,55,30,5,0,SUPP,15,10,85%,25%,3%,36%,19%,5%,0%,SUPP,9%,6%
134693,180,170,35,5,105,25,5,0,0,10,5,91%,18%,3%,56%,13%,4%,0%,0%,7%,3%
131062,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
100358,110,90,50,0,40,SUPP,0,0,0,5,10,85%,46%,0%,37%,SUPP,0%,0%,0%,7%,8%
100359,150,130,40,5,75,10,5,0,0,10,10,85%,27%,2%,51%,5%,2%,0%,0%,7%,7%
100360,110,100,45,0,50,5,SUPP,0,0,5,5,90%,41%,0%,43%,6%,SUPP,0%,0%,6%,4%
100361,80,50,30,5,15,SUPP,SUPP,0,0,15,5,70%,42%,5%,20%,SUPP,SUPP,0%,0%,21%,9%
100363,160,130,10,SUPP,105,10,5,0,0,10,20,83%,8%,SUPP,67%,8%,2%,0%,0%,5%,12%
100364,90,80,10,SUPP,65,SUPP,SUPP,0,0,5,10,86%,9%,SUPP,74%,SUPP,SUPP,0%,0%,4%,10%
137157,190,180,20,SUPP,155,5,SUPP,0,0,SUPP,10,94%,9%,SUPP,81%,4%,SUPP,0%,0%,SUPP,5%
131752,130,110,35,SUPP,75,5,SUPP,0,0,5,10,88%,26%,SUPP,57%,4%,SUPP,0%,0%,5%,6%
100452,170,160,40,SUPP,105,5,5,0,SUPP,15,5,89%,24%,SUPP,61%,3%,3%,0%,SUPP,7%,3%
100453,150,120,95,5,10,5,10,0,0,15,15,82%,67%,3%,8%,3%,6%,0%,0%,9%,9%
100455,130,110,45,SUPP,50,10,SUPP,0,SUPP,10,10,84%,34%,SUPP,41%,6%,SUPP,0%,SUPP,9%,6%
100457,220,200,135,5,30,30,5,0,0,10,10,92%,63%,2%,14%,13%,2%,0%,0%,4%,4%
131690,160,140,95,5,20,20,SUPP,0,0,10,5,88%,62%,3%,12%,12%,SUPP,0%,0%,8%,4%
100458,140,120,30,SUPP,85,5,5,0,0,10,10,88%,22%,SUPP,61%,4%,3%,0%,0%,6%,6%
100459,150,130,35,0,80,15,5,0,5,10,10,87%,22%,0%,54%,9%,3%,0%,2%,8%,5%
100460,130,130,80,SUPP,20,25,SUPP,0,0,5,5,93%,60%,SUPP,16%,17%,SUPP,0%,0%,4%,2%
135587,140,130,50,5,60,10,5,0,SUPP,10,5,88%,34%,4%,41%,7%,3%,0%,SUPP,7%,5%
100501,220,180,70,SUPP,95,10,SUPP,0,0,20,25,80%,31%,SUPP,42%,5%,SUPP,0%,0%,9%,11%
100502,110,100,45,0,30,20,SUPP,0,0,10,10,84%,39%,0%,26%,19%,SUPP,0%,0%,9%,7%
100503,110,90,25,SUPP,20,40,5,0,0,10,10,83%,25%,SUPP,19%,38%,3%,0%,0%,9%,7%
100506,120,110,15,0,95,5,SUPP,0,0,5,SUPP,95%,11%,0%,79%,5%,SUPP,0%,0%,4%,SUPP
100624,130,120,45,5,45,25,5,0,SUPP,10,5,89%,34%,2%,34%,18%,4%,0%,SUPP,7%,5%
100625,120,100,75,SUPP,5,15,SUPP,0,0,10,10,82%,64%,SUPP,3%,14%,SUPP,0%,0%,10%,8%
136450,180,150,100,10,10,35,5,0,0,15,15,84%,55%,5%,5%,20%,2%,0%,0%,8%,8%
100627,140,120,65,SUPP,15,40,0,0,SUPP,15,5,87%,46%,SUPP,12%,28%,0%,0%,SUPP,10%,3%
100637,140,140,20,5,65,45,SUPP,0,SUPP,5,0,96%,15%,2%,47%,31%,SUPP,0%,SUPP,4%,0%
100638,170,150,45,SUPP,75,25,5,0,SUPP,15,5,88%,27%,SUPP,46%,14%,2%,0%,SUPP,8%,4%
137093,180,160,45,SUPP,105,10,SUPP,0,0,15,5,89%,26%,SUPP,58%,4%,SUPP,0%,0%,8%,3%
100640,90,80,25,SUPP,30,20,SUPP,0,0,5,SUPP,93%,30%,SUPP,36%,25%,SUPP,0%,0%,4%,SUPP
100641,130,120,30,SUPP,70,20,SUPP,0,0,10,5,91%,21%,SUPP,52%,16%,SUPP,0%,0%,7%,2%
100642,110,90,40,5,40,5,5,0,SUPP,10,5,85%,37%,5%,38%,5%,6%,0%,SUPP,10%,5%
134815,170,150,55,5,80,5,5,0,SUPP,15,5,90%,33%,2%,50%,4%,4%,0%,SUPP,8%,2%
100740,220,180,65,SUPP,50,60,SUPP,0,0,20,20,82%,29%,SUPP,24%,28%,SUPP,0%,0%,10%,9%
100741,240,210,50,SUPP,130,30,5,0,0,20,10,88%,21%,SUPP,54%,13%,2%,0%,0%,8%,4%
100742,120,100,45,SUPP,30,20,SUPP,0,0,10,10,83%,39%,SUPP,25%,18%,SUPP,0%,0%,8%,8%
100743,280,220,95,SUPP,110,15,5,0,0,35,25,79%,34%,SUPP,39%,5%,1%,0%,0%,13%,8%
100745,230,190,60,5,115,10,5,0,0,10,30,83%,26%,2%,50%,5%,3%,0%,0%,4%,13%
100747,170,130,70,5,40,20,5,0,SUPP,25,15,77%,39%,2%,24%,11%,3%,0%,SUPP,14%,9%
100748,110,100,40,0,35,20,0,0,0,10,5,87%,39%,0%,30%,18%,0%,0%,0%,7%,6%
100749,90,70,15,SUPP,15,40,5,0,0,5,10,81%,19%,SUPP,15%,45%,3%,0%,0%,8%,11%
100750,110,110,15,0,85,5,0,0,0,5,5,93%,13%,0%,75%,4%,0%,0%,0%,4%,4%
100752,150,140,25,5,25,85,5,0,0,5,5,96%,18%,3%,18%,57%,3%,0%,0%,2%,2%
135073,200,190,30,5,145,10,5,0,0,15,SUPP,92%,15%,2%,71%,4%,2%,0%,0%,7%,SUPP
135070,140,130,55,5,65,5,5,0,0,5,5,91%,39%,4%,47%,2%,5%,0%,0%,4%,4%
135264,50,40,15,0,5,25,SUPP,0,0,5,5,84%,25%,0%,10%,49%,SUPP,0%,0%,8%,8%
136309,230,200,85,5,65,40,5,0,0,20,10,87%,37%,3%,29%,18%,3%,0%,0%,9%,5%
136298,170,160,50,SUPP,100,5,SUPP,0,SUPP,10,5,92%,29%,SUPP,58%,3%,SUPP,0%,SUPP,5%,3%
100849,120,110,25,5,60,25,5,0,0,5,5,93%,21%,3%,48%,21%,3%,0%,0%,5%,3%
100857,140,120,20,5,25,75,5,0,0,10,5,87%,14%,4%,17%,52%,4%,0%,0%,8%,5%
100858,120,100,35,5,10,50,5,0,SUPP,15,5,84%,29%,3%,7%,43%,6%,0%,SUPP,13%,3%
100859,120,110,20,SUPP,10,70,5,0,0,10,5,88%,18%,SUPP,10%,59%,3%,0%,0%,7%,5%
100860,130,110,20,5,15,75,5,0,0,10,10,85%,14%,3%,12%,56%,5%,0%,0%,8%,6%
134222,170,140,40,5,95,5,SUPP,0,SUPP,15,10,85%,22%,3%,56%,4%,SUPP,0%,SUPP,8%,7%
134225,200,160,85,SUPP,40,30,SUPP,0,0,25,10,82%,44%,SUPP,20%,16%,SUPP,0%,0%,12%,6%
131747,160,150,55,5,40,45,5,0,SUPP,10,5,89%,34%,3%,24%,28%,2%,0%,SUPP,7%,4%
132711,120,100,40,SUPP,40,25,0,0,0,10,SUPP,89%,33%,SUPP,35%,20%,0%,0%,0%,9%,SUPP
135315,170,130,40,5,70,20,10,0,SUPP,30,10,77%,23%,2%,40%,10%,5%,0%,SUPP,18%,5%
135375,140,110,55,5,25,30,10,0,0,20,10,78%,39%,3%,16%,20%,6%,0%,0%,15%,6%
135401,170,150,35,5,90,20,5,0,0,10,10,87%,19%,4%,51%,12%,3%,0%,0%,7%,6%
135584,110,90,50,5,15,15,SUPP,0,0,15,10,80%,46%,5%,15%,15%,SUPP,0%,0%,12%,8%
100965,110,90,45,5,10,25,SUPP,0,0,15,5,81%,43%,4%,10%,24%,SUPP,0%,0%,14%,6%
100966,170,150,125,SUPP,15,5,5,0,0,20,5,86%,71%,SUPP,9%,4%,2%,0%,0%,12%,2%
100967,220,190,70,10,75,30,10,0,0,20,10,86%,32%,4%,36%,13%,4%,0%,0%,10%,5%
100968,200,190,20,5,160,5,SUPP,0,5,10,5,93%,11%,1%,77%,2%,SUPP,0%,1%,4%,2%
100969,130,120,45,5,40,25,0,0,SUPP,10,5,89%,35%,2%,30%,20%,0%,0%,SUPP,6%,5%
100970,170,150,80,10,30,20,5,0,0,20,5,86%,47%,7%,18%,13%,2%,0%,0%,11%,3%
100971,150,130,50,SUPP,50,25,SUPP,0,0,10,10,84%,34%,SUPP,34%,16%,SUPP,0%,0%,7%,8%
100972,110,100,40,5,50,5,SUPP,0,SUPP,10,SUPP,91%,35%,4%,46%,5%,SUPP,0%,SUPP,8%,SUPP
100973,190,170,60,5,80,20,SUPP,0,SUPP,15,15,86%,30%,3%,42%,10%,SUPP,0%,SUPP,7%,7%
133289,100,90,15,5,60,5,5,0,SUPP,10,5,84%,15%,3%,59%,5%,5%,0%,SUPP,10%,7%
100974,170,150,55,10,80,5,5,0,0,20,5,85%,32%,5%,46%,2%,4%,0%,0%,12%,4%
100975,230,210,40,5,135,25,10,0,SUPP,20,5,90%,17%,3%,59%,10%,3%,0%,SUPP,8%,3%
100977,170,150,15,5,125,5,SUPP,0,SUPP,15,SUPP,91%,10%,3%,73%,4%,SUPP,0%,SUPP,8%,SUPP
100978,130,120,25,5,65,20,5,0,SUPP,10,5,89%,19%,3%,50%,17%,3%,0%,SUPP,8%,3%
100979,140,130,30,5,75,15,5,0,SUPP,5,5,93%,22%,4%,56%,9%,3%,0%,SUPP,5%,2%
101053,160,150,25,0,105,10,5,0,5,5,5,91%,16%,0%,64%,7%,2%,0%,4%,4%,4%
136883,130,120,30,SUPP,85,5,5,0,0,5,5,91%,23%,SUPP,64%,2%,3%,0%,0%,5%,4%
101055,100,90,25,SUPP,65,0,SUPP,0,0,5,10,88%,23%,SUPP,64%,0%,SUPP,0%,0%,4%,8%
132173,140,120,20,SUPP,90,10,0,0,0,5,15,87%,16%,SUPP,64%,7%,0%,0%,0%,4%,9%
137005,250,230,25,SUPP,200,5,5,0,0,10,10,92%,10%,SUPP,79%,2%,1%,0%,0%,4%,4%
101059,260,240,80,SUPP,145,10,SUPP,0,SUPP,5,10,95%,32%,SUPP,57%,4%,SUPP,0%,SUPP,2%,4%
101060,170,150,45,5,95,SUPP,5,0,0,15,10,86%,27%,2%,56%,SUPP,3%,0%,0%,9%,5%
101063,170,160,30,5,115,5,5,0,5,10,5,93%,17%,2%,67%,4%,2%,0%,2%,5%,2%
135316,170,150,45,SUPP,80,20,5,0,SUPP,15,5,88%,27%,SUPP,49%,11%,3%,0%,SUPP,8%,4%
101149,200,180,10,SUPP,170,0,SUPP,0,SUPP,10,5,91%,5%,SUPP,85%,0%,SUPP,0%,SUPP,6%,4%
101151,160,150,20,SUPP,115,10,SUPP,0,SUPP,5,5,96%,13%,SUPP,75%,6%,SUPP,0%,SUPP,2%,2%
137353,140,130,15,0,105,5,0,0,0,5,5,93%,11%,0%,79%,4%,0%,0%,0%,3%,4%
101153,110,100,25,0,70,5,5,0,0,5,5,90%,22%,0%,64%,4%,3%,0%,0%,4%,6%
101154,110,90,15,0,70,5,0,0,SUPP,10,10,85%,15%,0%,63%,6%,0%,0%,SUPP,8%,7%
101155,110,90,15,5,15,60,SUPP,0,0,10,10,85%,14%,4%,12%,55%,SUPP,0%,0%,8%,7%
130912,170,150,25,5,125,SUPP,SUPP,0,0,10,5,90%,14%,2%,74%,SUPP,SUPP,0%,0%,6%,4%
131262,130,100,30,0,60,5,SUPP,0,SUPP,15,15,77%,25%,0%,47%,4%,SUPP,0%,SUPP,10%,13%
135676,220,180,75,SUPP,100,5,5,0,0,20,15,84%,34%,SUPP,46%,3%,2%,0%,0%,8%,7%
101240,230,190,60,5,110,10,5,0,0,30,10,81%,25%,2%,48%,5%,3%,0%,0%,14%,5%
101241,260,240,45,5,185,5,10,0,SUPP,20,5,91%,17%,1%,71%,2%,4%,0%,SUPP,7%,2%
101243,270,240,110,10,90,25,10,0,SUPP,15,15,88%,41%,4%,33%,9%,3%,0%,SUPP,6%,6%
101244,260,230,45,5,165,15,10,0,5,20,5,90%,17%,2%,63%,6%,4%,0%,2%,8%,2%
101245,260,230,30,5,190,5,5,0,SUPP,20,10,88%,12%,1%,73%,2%,2%,0%,SUPP,8%,3%
101246,260,220,75,5,130,10,5,0,SUPP,35,15,82%,28%,2%,49%,3%,3%,0%,SUPP,13%,5%
133561,230,190,85,5,90,10,5,0,0,30,15,82%,38%,2%,38%,4%,3%,0%,0%,13%,6%
101247,180,170,35,5,120,10,SUPP,0,0,5,0,97%,20%,2%,68%,7%,SUPP,0%,0%,3%,0%
136028,160,130,30,SUPP,85,10,5,0,5,20,15,79%,18%,SUPP,52%,6%,2%,0%,2%,13%,8%
101345,150,130,50,SUPP,15,65,SUPP,0,0,20,5,84%,33%,SUPP,9%,42%,SUPP,0%,0%,12%,4%
137374,170,140,35,5,85,10,5,0,5,10,15,85%,22%,3%,51%,7%,4%,0%,2%,7%,8%
137361,130,120,30,0,80,5,SUPP,0,0,5,10,88%,21%,0%,61%,5%,SUPP,0%,0%,5%,8%
137131,180,170,15,0,140,10,0,0,SUPP,5,10,93%,9%,0%,78%,7%,0%,0%,SUPP,2%,4%
101349,170,150,15,0,125,10,SUPP,0,SUPP,5,15,88%,8%,0%,72%,7%,SUPP,0%,SUPP,4%,8%
137388,140,120,25,SUPP,95,5,5,0,0,5,10,89%,17%,SUPP,67%,5%,4%,0%,0%,4%,7%
136658,200,180,30,SUPP,140,5,5,0,SUPP,15,5,89%,15%,SUPP,70%,2%,2%,0%,SUPP,8%,4%
136418,180,160,45,5,15,90,5,0,0,10,10,89%,26%,3%,8%,51%,2%,0%,0%,6%,5%
101354,90,90,0,0,85,SUPP,0,0,0,0,5,95%,0%,0%,93%,SUPP,0%,0%,0%,0%,5%
101357,200,180,30,SUPP,135,10,5,0,SUPP,5,10,90%,15%,SUPP,68%,6%,3%,0%,SUPP,4%,6%
136290,180,170,SUPP,0,165,5,0,0,0,SUPP,5,97%,SUPP,0%,93%,3%,0%,0%,0%,SUPP,3%
137386,250,230,25,0,195,5,0,0,0,10,10,91%,10%,0%,80%,1%,0%,0%,0%,4%,4%
101360,150,140,45,SUPP,85,5,SUPP,0,0,10,5,91%,30%,SUPP,55%,5%,SUPP,0%,0%,6%,3%
101361,100,90,SUPP,0,85,5,0,0,0,SUPP,5,94%,SUPP,0%,90%,3%,0%,0%,0%,SUPP,4%
101362,160,140,30,0,110,5,SUPP,0,0,5,5,92%,19%,0%,71%,2%,SUPP,0%,0%,4%,3%
136308,220,200,25,SUPP,170,5,SUPP,0,0,10,10,91%,11%,SUPP,78%,2%,SUPP,0%,0%,4%,5%
101364,180,160,45,0,105,5,SUPP,0,0,15,5,87%,26%,0%,58%,4%,SUPP,0%,0%,9%,4%
101365,140,120,20,SUPP,85,5,SUPP,0,SUPP,20,10,81%,15%,SUPP,60%,3%,SUPP,0%,SUPP,13%,6%
101366,170,150,5,0,150,0,0,0,0,5,15,89%,3%,0%,87%,0%,0%,0%,0%,2%,8%
134798,210,180,35,5,140,SUPP,5,0,0,15,10,88%,17%,2%,69%,SUPP,2%,0%,0%,6%,5%
136369,220,220,15,SUPP,200,SUPP,5,0,0,5,5,97%,7%,SUPP,90%,SUPP,1%,0%,0%,1%,1%
101463,210,200,5,SUPP,195,SUPP,SUPP,0,SUPP,SUPP,5,98%,2%,SUPP,93%,SUPP,SUPP,0%,SUPP,SUPP,1%
101465,210,200,60,5,125,5,10,0,0,10,5,93%,30%,2%,59%,2%,6%,0%,0%,4%,2%
137423,190,180,10,SUPP,170,SUPP,SUPP,0,0,5,5,96%,6%,SUPP,88%,SUPP,SUPP,0%,0%,2%,2%
136720,270,220,85,5,130,0,15,0,0,25,25,81%,32%,3%,47%,0%,5%,0%,0%,10%,9%
136330,320,280,130,15,130,SUPP,25,0,0,30,15,87%,41%,5%,41%,SUPP,8%,0%,0%,9%,4%
101471,190,160,55,5,90,10,15,0,0,15,15,83%,29%,3%,47%,5%,8%,0%,0%,9%,8%
136538,180,160,40,10,100,10,10,0,SUPP,10,5,92%,23%,5%,58%,5%,6%,0%,SUPP,6%,2%
101477,170,150,55,5,35,55,10,0,0,10,10,89%,33%,4%,20%,33%,5%,0%,0%,5%,6%
101478,210,190,35,10,70,75,10,0,0,20,5,89%,17%,4%,33%,35%,5%,0%,0%,8%,2%
136334,160,150,10,SUPP,145,0,SUPP,0,0,5,0,97%,5%,SUPP,91%,0%,SUPP,0%,0%,3%,0%
137368,200,180,95,10,75,SUPP,20,0,SUPP,15,10,88%,47%,4%,36%,SUPP,9%,0%,SUPP,7%,4%
133769,200,170,35,5,115,20,5,0,SUPP,10,15,86%,16%,2%,57%,9%,3%,0%,SUPP,5%,8%
135677,130,110,45,5,55,5,10,0,0,10,10,85%,36%,4%,42%,3%,9%,0%,0%,8%,7%
101550,200,180,45,0,120,5,5,0,0,15,10,89%,23%,0%,62%,4%,3%,0%,0%,7%,5%
133724,300,290,30,SUPP,255,SUPP,SUPP,SUPP,0,5,10,95%,11%,SUPP,85%,SUPP,SUPP,SUPP,0%,2%,3%
136656,220,210,40,0,145,20,0,0,0,5,5,94%,18%,0%,67%,9%,0%,0%,0%,3%,3%
101558,230,210,65,5,140,SUPP,5,0,0,20,5,90%,27%,1%,60%,SUPP,2%,0%,0%,8%,2%
101559,310,280,50,5,210,10,SUPP,0,SUPP,15,15,90%,17%,1%,68%,4%,SUPP,0%,SUPP,5%,5%
101560,210,180,70,0,105,5,0,0,0,15,15,87%,34%,0%,50%,2%,0%,0%,0%,6%,7%
101561,170,150,45,5,85,15,SUPP,0,0,15,5,88%,28%,2%,49%,10%,SUPP,0%,0%,8%,4%
101562,220,210,20,SUPP,180,5,5,0,0,5,5,96%,10%,SUPP,82%,3%,2%,0%,0%,2%,2%
101563,160,140,30,SUPP,95,10,SUPP,0,0,10,5,88%,19%,SUPP,62%,6%,SUPP,0%,0%,8%,4%
101564,100,90,45,SUPP,35,15,0,0,0,5,5,91%,43%,SUPP,33%,13%,0%,0%,0%,5%,4%
101567,220,200,50,SUPP,135,5,SUPP,0,0,15,10,89%,23%,SUPP,62%,3%,SUPP,0%,0%,7%,5%
134226,190,170,55,5,100,5,5,0,0,15,10,88%,29%,2%,54%,3%,3%,0%,0%,7%,5%
135973,150,140,50,SUPP,80,5,SUPP,0,0,10,10,89%,31%,SUPP,54%,3%,SUPP,0%,0%,6%,5%
135974,120,110,25,0,65,15,0,0,0,15,5,85%,22%,0%,52%,11%,0%,0%,0%,11%,4%
137379,160,140,35,5,95,5,10,0,5,15,10,86%,20%,2%,57%,4%,6%,0%,2%,9%,6%
136466,170,160,40,5,105,SUPP,5,0,0,5,10,91%,24%,4%,62%,SUPP,4%,0%,0%,3%,5%
136709,210,190,35,5,145,SUPP,5,SUPP,SUPP,15,10,88%,17%,1%,68%,SUPP,1%,SUPP,SUPP,7%,6%
136464,240,190,45,15,130,SUPP,20,0,0,20,20,82%,19%,7%,55%,SUPP,8%,0%,0%,9%,9%
136586,220,200,20,SUPP,175,0,5,0,0,10,5,92%,10%,SUPP,81%,0%,1%,0%,0%,6%,3%
136517,220,200,40,5,160,0,5,0,SUPP,10,10,91%,17%,2%,72%,0%,3%,0%,SUPP,4%,5%
136551,140,130,0,0,125,0,SUPP,0,0,SUPP,10,93%,0%,0%,93%,0%,SUPP,0%,0%,SUPP,6%
136281,180,160,50,5,100,5,5,0,0,15,15,84%,27%,2%,53%,2%,3%,0%,0%,8%,8%
136644,240,220,45,SUPP,165,SUPP,5,0,0,10,10,91%,19%,SUPP,70%,SUPP,3%,0%,0%,5%,5%
136467,210,180,40,5,135,5,10,0,0,15,10,89%,19%,2%,66%,1%,4%,0%,0%,7%,4%
136545,210,190,40,5,135,SUPP,10,0,SUPP,20,10,87%,20%,3%,63%,SUPP,6%,0%,SUPP,9%,4%
101676,120,120,SUPP,0,115,0,0,0,SUPP,0,0,100%,SUPP,0%,97%,0%,0%,0%,SUPP,0%,0%
137006,240,230,20,SUPP,200,0,5,0,SUPP,5,10,93%,8%,SUPP,83%,0%,3%,0%,SUPP,3%,4%
136540,210,180,35,5,135,SUPP,5,0,SUPP,20,10,86%,17%,2%,65%,SUPP,3%,0%,SUPP,10%,4%
136355,250,220,40,5,165,SUPP,10,0,SUPP,25,10,86%,16%,2%,67%,SUPP,4%,0%,SUPP,10%,5%
101659,180,150,40,5,105,0,5,0,SUPP,15,20,82%,23%,2%,57%,0%,3%,0%,SUPP,8%,10%
101805,160,140,55,0,55,25,0,0,0,15,10,86%,35%,0%,34%,17%,0%,0%,0%,8%,6%
101806,210,190,60,5,70,55,5,0,SUPP,10,5,92%,30%,1%,34%,26%,3%,0%,SUPP,6%,2%
101811,100,100,15,0,70,10,5,0,SUPP,0,0,100%,17%,0%,72%,9%,4%,0%,SUPP,0%,0%
101813,140,130,35,5,65,25,5,0,0,SUPP,5,96%,26%,4%,46%,20%,3%,0%,0%,SUPP,3%
101814,140,120,30,5,45,45,5,0,0,10,5,89%,22%,2%,31%,34%,2%,0%,0%,9%,2%
101818,300,270,75,5,160,20,10,0,SUPP,15,20,88%,25%,2%,53%,7%,4%,0%,SUPP,5%,7%
101819,230,200,85,5,75,35,10,0,0,25,10,85%,36%,2%,32%,15%,5%,0%,0%,10%,5%
101820,170,160,45,5,90,25,5,0,0,5,SUPP,96%,26%,2%,54%,15%,2%,0%,0%,4%,SUPP
101821,140,120,35,5,65,15,5,0,5,10,10,87%,25%,4%,46%,10%,4%,0%,3%,7%,6%
101823,150,150,10,SUPP,130,5,SUPP,0,0,SUPP,SUPP,98%,8%,SUPP,85%,4%,SUPP,0%,0%,SUPP,SUPP
101824,180,170,25,0,120,20,0,0,0,10,5,93%,14%,0%,67%,12%,0%,0%,0%,5%,2%
101825,180,150,70,SUPP,55,30,SUPP,0,0,15,5,88%,39%,SUPP,32%,16%,SUPP,0%,0%,9%,3%
101826,210,180,45,5,75,55,5,0,0,20,10,87%,22%,3%,35%,27%,3%,0%,0%,9%,4%
131280,110,100,15,0,70,15,0,0,SUPP,5,5,94%,14%,0%,64%,16%,0%,0%,SUPP,3%,3%
101849,140,130,15,0,115,SUPP,0,0,0,5,5,92%,10%,0%,81%,SUPP,0%,0%,0%,4%,3%
135249,100,80,20,SUPP,50,5,SUPP,0,0,10,5,82%,21%,SUPP,53%,7%,SUPP,0%,0%,11%,7%
135311,170,160,15,SUPP,140,5,5,0,0,10,5,92%,8%,SUPP,81%,2%,2%,0%,0%,6%,2%
135654,150,130,45,0,30,55,5,0,0,15,10,85%,30%,0%,20%,35%,2%,0%,0%,10%,5%
135955,150,130,40,5,70,10,5,0,SUPP,20,5,83%,27%,3%,46%,7%,2%,0%,SUPP,13%,4%
135968,170,140,55,10,35,40,5,0,SUPP,15,15,82%,33%,5%,20%,24%,4%,0%,SUPP,10%,8%
101928,230,210,100,0,110,SUPP,SUPP,0,0,10,5,93%,45%,0%,48%,SUPP,SUPP,0%,0%,5%,2%
101930,170,160,35,SUPP,120,0,5,0,0,10,5,90%,21%,SUPP,68%,0%,2%,0%,0%,6%,4%
101931,230,210,60,0,150,0,0,0,0,15,10,90%,25%,0%,65%,0%,0%,0%,0%,6%,4%
101932,220,190,110,SUPP,70,5,SUPP,0,SUPP,15,20,85%,50%,SUPP,32%,1%,SUPP,0%,SUPP,6%,9%
131310,170,160,60,SUPP,100,0,5,0,0,10,5,91%,34%,SUPP,57%,0%,2%,0%,0%,5%,4%
101933,190,180,20,SUPP,160,5,SUPP,0,0,5,5,96%,9%,SUPP,84%,2%,SUPP,0%,0%,2%,2%
101934,300,280,80,10,175,10,10,0,0,15,10,92%,26%,4%,58%,4%,3%,0%,0%,4%,4%
101939,200,190,70,SUPP,120,0,5,0,0,5,10,94%,34%,SUPP,58%,0%,2%,0%,0%,2%,4%
101940,240,220,30,SUPP,190,0,5,0,0,10,5,93%,13%,SUPP,80%,0%,2%,0%,0%,5%,2%
101941,200,190,45,SUPP,135,5,5,0,0,10,10,91%,22%,SUPP,66%,3%,1%,0%,0%,5%,4%
137221,240,220,45,5,170,0,5,0,SUPP,10,5,93%,19%,2%,72%,0%,1%,0%,SUPP,5%,2%
101943,230,200,70,SUPP,120,10,5,0,0,20,10,87%,31%,SUPP,51%,4%,3%,0%,0%,8%,5%
