"URN","LinkURN","LinkName","LinkType","LinkEstablishedDate"
135632,112386,"Ehenside Community School","Parent",""
135632,112387,"Wyndham School","Parent",""
135649,119760,"Accrington Moorhead Sports College","Parent",""
135650,121174,"Heartsease High School","Parent",""
135651,115328,"The Rickstones School","Parent",""
135652,115351,"Greensward College","Parent",""
135653,115367,"The John Bramston School and Sixth Form College","Parent",""
135654,101822,"Coulsdon High School","Parent",""
135661,105972,"Hope High School","Parent",""
135662,116934,"Wyebridge Sports College","Parent",""
135663,109276,"Hengrove Community Arts College","Parent",""
135665,110507,"Sir Frank Markham Community School","Parent",""
135666,120706,"The Castle Hills Community Arts College","Parent",""
135666,120658,"Middlefield School of Technology","Parent",""
135671,109275,"Portway Community School","Parent",""
135672,117039,"Hereford Waldorf School","Parent",""
135674,118098,"High Ridge School Specialist Sports College","Parent",""
135675,123242,"Peers School","Parent",""
135676,101148,"Pimlico School","Parent",""
135677,135416,"Harris Federation Post 16","Sixth Form Centre Link","02-07-2015"
135684,104129,"The City Technology College","Parent","01-09-2008"
135685,122878,"Henry Mellish Comprehensive School","Parent","10-09-2008"
135685,131861,"The River Leen School","Parent","10-09-2008"
135721,118889,"Minster College","Parent","01-09-2009"
135721,118914,"Cheyne Middle School","Parent","01-09-2009"
135721,118826,"Danley Middle School","Parent","01-09-2009"
135744,126074,"Boundstone Community College","Parent","01-09-2009"
135745,126082,"Littlehampton Community School,the","Parent","01-09-2009"
135760,126077,"Midhurst Intermediate School","Parent","01-01-2009"
135760,126091,"Midhurst Grammar School","Parent","01-01-2009"
135760,126078,"Herbert Shiner School","Parent","01-01-2009"
135761,122833,"William Sharp School","Parent","02-09-2009"
135769,104247,"Shelfield Sports and Community College","Parent","01-01-2009"
135770,105258,"Hayward School","Parent","05-01-2009"
135804,126511,"Castledown School","Parent","26-02-2009"
135816,135416,"Harris Federation Post 16","Sixth Form Centre Link","18-04-2011"
135818,108857,"Castle View School A Specialist Business and Enterprise College","Parent","07-09-2009"
135864,106261,"Droylsden School Mathematics and Computing College for Girls","Parent","01-09-2009"
135864,106262,"Littlemoss High School for Boys","Parent","01-09-2009"
135865,107210,"High Fernley Primary School","Parent","01-09-2009"
135865,107363,"Wyke Manor School","Parent","01-09-2009"
135866,107364,"Rhodesway School","Parent","01-09-2009"
135874,131883,"Parklands High School","Parent","01-09-2009"
135875,105570,"Brookway High School and Sports College","Parent","01-09-2009"
135876,117522,"Francis Combe School and Community College","Parent","01-09-2009"
135877,105124,"Birkenhead High School","Parent","01-09-2009"
135878,108855,"Hylton Red House School","Parent","01-09-2009"
135879,110492,"Quarrendon School","Parent","01-09-2009"
135881,122843,"Elliott Durham School","Parent","01-09-2009"
135881,122904,"Greenwood Dale School","Parent","01-09-2009"
135881,131538,"Jesse Boot Primary School","Parent","01-09-2009"
135886,122241,"Coulson Park First School","Parent","01-09-2009"
135886,122359,"Hirst High School","Parent","01-09-2009"
135886,122342,"Newbiggin Middle School","Parent","01-09-2009"
135886,122208,"Windsor First School","Parent","01-09-2009"
135886,134474,"Seaton Hirst Church of England Middle School","Parent","01-09-2009"
135886,122212,"Newbiggin-by-the-Sea Moorside First School","Parent","01-09-2009"
135886,122200,"Lynemouth First School","Parent","01-09-2009"
135886,134729,"Hawthorn Church of England Controlled First School","Parent","01-09-2009"
135886,122253,"Welbeck Community First School","Parent","01-09-2009"
135886,122175,"Ashington Alexandra First School","Parent","01-09-2009"
135888,118899,"Tunbridge Wells High School","Parent","01-09-2009"
135895,115316,"Chalvedon School","Parent","01-09-2009"
135895,115372,"Barstable School","Parent","01-09-2009"
135897,115316,"Chalvedon School","Parent","01-09-2009"
135897,115372,"Barstable School","Parent","01-09-2009"
135904,121175,"Earlham High School","Parent","01-09-2009"
135907,103528,"The Heartlands High School","Parent","01-09-2009"
135911,103525,"Shenley Court Specialist Arts College and Sixth Form Centre","Parent","01-09-2009"
135913,116977,"Elgar Technology College","Parent","01-09-2009"
135934,132163,"Parkwood High School","Parent","01-09-2009"
135935,108070,"Intake High School Arts College","Parent","01-09-2009"
135936,119742,"Fulwood High School and Arts College","Parent","01-09-2009"
135938,117581,"Bushey Hall School","Parent","01-09-2009"
135940,112391,"The Alfred Barrow School","Parent","01-09-2009"
135940,112392,"Thorncliffe School - A Specialist Sports College","Parent","01-09-2009"
135940,112436,"Parkview School","Parent","01-09-2009"
135941,111426,"Ellesmere Port Specialist School of Performing Arts","Parent","01-09-2009"
135941,111423,"Cheshire Oaks High School, A Specialist Sports College","Parent","01-09-2009"
135942,106783,"Northcliffe School","Parent","01-09-2009"
135943,109299,"King Edmund Community School","Parent","01-09-2009"
135943,131768,"Woodlands Primary School","Parent","01-09-2011"
135944,109298,"The Ridings High School","Parent","01-09-2009"
135945,132794,"Pickering High School Sports College","Parent","01-09-2009"
135946,109648,"The Northfields Technology College","Parent","01-09-2009"
135951,101416,"Barnes Cray Primary School","Parent","01-09-2009"
135951,101419,"Slade Green Junior School","Parent","01-09-2013"
135955,101809,"Haling Manor High School","Parent","01-09-2009"
135955,135416,"Harris Federation Post 16","Sixth Form Centre Link","18-04-2011"
135956,104249,"Darlaston Community Science College","Parent","01-09-2009"
135957,115361,"Colbayns High School","Parent","01-09-2009"
135957,133483,"Bishops Park College","Parent","01-09-2009"
135958,102057,"Albany School","Parent","01-09-2009"
135959,109287,"Bristol Metropolitan College","Parent","01-09-2009"
135960,115225,"Belhus Chase Specialist Humanities College","Parent","01-09-2009"
135961,108277,"Outwood Grange College of Technology","Parent","01-09-2009"
135962,126079,"King's Manor Community College","Parent","01-09-2009"
135963,106781,"North Doncaster Technology College","Parent","01-09-2009"
135964,118800,"Chapter School","Parent","01-09-2009"
135964,118801,"Temple School","Parent","01-09-2009"
135965,116479,"St Luke's CofE VA Secondary School","Parent","01-09-2009"
135966,121833,"Avondale Junior School","Parent","01-09-2009"
135966,121834,"Avondale Infant School","Parent","01-09-2009"
135966,122120,"Montagu School","Parent","01-09-2009"
135967,122054,"Ise Community College","Parent","07-09-2009"
135967,121837,"Henry Gotch Primary School","Parent","07-09-2009"
135967,143025,"Compass Primary Academy","Child - Split School","01-09-2016"
135968,101808,"Ashburton Community School","Parent","01-09-2009"
135968,101709,"Ashburton Junior School","Parent","01-09-2009"
135968,101710,"Ashburton Infant School","Parent","01-09-2009"
135969,134514,"South Leeds High School","Parent","01-09-2009"
135970,103532,"St Albans CofE Specialist Engineering College","Parent","01-09-2009"
135971,104116,"Park Hall School","Parent","01-09-2009"
135973,101566,"John Kelly Girls' Technology College","Parent","01-09-2009"
135973,135974,"The Crest Boys' Academy","Result of Amalgamation","31-08-2014"
135979,104014,"Tividale Community Arts College","Parent","31-08-2009"
135980,110881,"Bushfield Community College","Parent","11-02-2011"
135981,105254,"Withins School","Parent","09-09-2009"
135981,105165,"Top o'th'Brow Primary School","Parent","09-09-2009"
135983,104393,"Parkfield High School","Parent","01-09-2009"
136016,131282,"Christ College","Parent","01-09-2011"
136027,105732,"Kaskenmoor School","Parent","01-09-2010"
136027,105733,"South Chadderton School","Parent","01-09-2010"
136032,103488,"The College High Specialist Arts School","Parent","04-01-2010"
136042,106952,"Maltby Community School - Specialising in Business and Enterprise","Parent","01-01-2010"
136044,120700,"The St George's College of Technology","Parent","04-01-2010"
136044,120634,"Coteland's School Ruskington","Parent","04-01-2010"
136044,120636,"The Aveland High School","Parent","04-01-2010"
136044,132951,"Sleaford Joint Sixth Form","Sixth Form Centre Link","02-07-2010"
136085,109672,"John Bunyan School","Parent","01-09-2010"
136090,102347,"King's Wood School","Parent","01-09-2010"
136094,107577,"Holy Trinity CofE Senior School","Parent","01-09-2010"
136102,124383,"Brownhills Maths and Computing College","Parent","01-09-2010"
136103,102924,"Hampton Community College","Parent","01-09-2010"
136104,102926,"Whitton School","Parent","01-09-2010"
136106,114603,"Eastbourne Technology College","Parent","01-09-2010"
136107,118926,"New Brompton College","Parent","01-09-2010"
136108,118827,"Chatham South School","Parent","01-09-2010"
136108,118834,"Medway Community College","Parent","01-09-2010"
136115,105729,"Grange School","Parent","01-09-2010"
136119,104699,"New Heys Comprehensive School","Parent","01-09-2010"
136119,104710,"St Benedict's College","Parent","01-09-2010"
136120,134702,"The Bishop of Winchester Comprehensive School","Parent","01-09-2010"
136121,131760,"Thornaby Community School","Parent","01-09-2010"
136125,132214,"Kings High School","Parent","01-09-2010"
136126,103739,"Sidney Stringer School - Specialising in Mathematics and Computing","Parent","01-09-2010"
136127,112965,"Shirebrook School","Parent","01-09-2010"
136128,118902,"The Bradbourne School","Parent","01-09-2010"
136128,118905,"The Wildernesse School","Parent","01-09-2010"
136135,105268,"George Tomlinson School","Parent","01-09-2010"
136136,124421,"Woodhouse High School","Parent","07-09-2010"
136136,141491,"Landau Forte Academy Tamworth Sixth Form","Child","01-08-2013"
136137,100283,"The Skinners' Company's School for Girls","Parent","06-09-2010"
136139,132171,"Freebrough Specialist Engineering College","Parent","01-09-2010"
136141,104825,"Sutton High Sports College","Parent","01-09-2010"
136142,113545,"John Kitto Community College","Parent","01-09-2010"
136145,124384,"Blurton High School - Business and Enterprise College","Parent","01-09-2010"
136146,111734,"Blakeston School - A Community Sports College","Parent","01-09-2010"
136146,111732,"The Norton School Humanities College","Parent","01-09-2010"
136147,102046,"The Gladys Aylward School","Parent","01-09-2010"
136148,105731,"Breeze Hill School","Parent","01-09-2010"
136148,105728,"Counthill School","Parent","01-09-2010"
136152,103487,"Sheldon Heath Community Arts College","Parent","01-09-2010"
136156,116474,"Staunton Community Sports College","Parent","01-09-2010"
136157,102051,"Turin Grove School","Parent","31-08-2010"
136158,125740,"Alderman Smith School and Sports College","Parent","31-08-2010"
136158,125742,"Manor Park Community School and Specialist Arts College","Parent","31-08-2010"
136164,114583,"Falmer High School","Parent","01-09-2010"
136166,113546,"Tamarside Community College","Parent","01-09-2010"
136174,105559,"Plant Hill Arts College","Parent","01-09-2010"
136175,118808,"Archers Court Maths and Computing College","Parent","01-09-2010"
136177,119004,"Duke of York's Royal Military School","Parent","01-09-2010"
136182,104385,"The Northicote School","Parent","24-09-2014"
136182,104391,"Pendeford Business and Enterprise College","Parent","24-09-2014"
136183,126469,"Salisbury High School","Parent","01-09-2010"
136184,111411,"Woodford Lodge High School","Parent","01-09-2010"
136184,111412,"The Verdin High School","Parent","01-09-2010"
136185,132825,"Halton High School","Parent","01-09-2010"
136186,121211,"Costessey High School","Parent","01-09-2010"
136187,121177,"Oriel Specialist Mathematics & Computing College","Parent","01-09-2010"
136192,118096,"The Lindsey School and Community Arts College","Parent","01-09-2010"
136193,123887,"Ladymead Community School","Parent","01-09-2010"
136193,123898,"The St Augustine of Canterbury School","Parent","01-09-2010"
136194,120715,"The Grantham Church (VA) High School","Parent","31-08-2010"
136194,120722,"The Central Technology and Sports College","Parent","31-08-2010"
136195,115366,"Sir Charles Lucas Arts College","Parent","01-09-2010"
136197,118845,"Ashford Christ Church Church of England Maths & Computing Specialist College","Parent","01-09-2010"
136197,118586,"Linden Grove Primary School","Parent","01-09-2012"
136198,107388,"Greenhead High School","Parent","24-09-2014"
136199,135028,"Bishops' College","Parent","01-09-2010"
136199,115764,"Central Technology College","Parent","01-09-2010"
136200,113517,"Dartmouth Community College","Parent","01-09-2010"
136200,113195,"Dartmouth Primary School and Nursery","Parent","01-09-2010"
136201,133733,"Unity College","Parent","01-09-2010"
136202,121156,"The Park High School","Parent","01-09-2010"
136203,101807,"Selsdon High School","Parent","01-09-2010"
136204,121166,"Charles Burrell Humanities School","Parent","01-09-2010"
136204,121186,"Rosemary Musker High School, Thetford","Parent","01-09-2010"
136205,118824,"Wilmington Enterprise College","Parent","01-09-2010"
136206,113866,"Rossmore Community College","Parent","01-09-2010"
136208,102927,"Shene School","Parent","01-09-2010"
136213,103496,"Harborne Hill School","Parent","01-09-2010"
136217,134615,"St Clements College","Parent","01-09-2010"
