URN,COHORT,OVERALL,FEC,INDEP,OTHERFE,SSF,SFC,SPI,AP_PRU,SPECIAL,APPREN,HE,COMBO,KNOWN,UNKNOWN,OVERALLPER,FECPER,INDEPPER,OTHERFEPER,SSFPER,SFCPER,SPIPER,AP_PRUPER,SPECIALPER,APPRENPER,HEPER,COMBOPER,KNOWNPER,UNKNOWNPER
100049,200,170,40,0,5,125,5,0,0,0,SUPP,0,SUPP,15,15,86%,19%,0%,3%,62%,1%,0%,0%,0%,SUPP,0%,SUPP,7%,7%
100050,170,150,25,5,SUPP,110,10,0,0,0,0,0,0,10,10,89%,16%,2%,SUPP,65%,5%,0%,0%,0%,0%,0%,0%,6%,5%
100051,170,150,35,0,SUPP,105,10,0,0,0,5,0,SUPP,10,10,87%,20%,0%,SUPP,61%,5%,0%,0%,0%,2%,0%,SUPP,7%,6%
100052,200,180,30,SUPP,5,135,5,0,0,0,5,0,0,15,10,88%,16%,SUPP,3%,67%,2%,0%,0%,0%,2%,0%,0%,7%,5%
100053,180,160,30,0,15,115,5,0,0,0,10,0,0,15,5,88%,16%,0%,8%,62%,2%,0%,0%,0%,5%,0%,0%,8%,4%
100054,110,110,20,0,SUPP,80,5,0,0,0,0,0,0,5,SUPP,95%,17%,0%,SUPP,73%,3%,0%,0%,0%,0%,0%,0%,5%,SUPP
100055,140,130,30,SUPP,0,75,25,0,0,0,SUPP,0,SUPP,5,5,94%,21%,SUPP,0%,54%,18%,0%,0%,0%,SUPP,0%,SUPP,3%,3%
100056,120,110,15,SUPP,0,95,SUPP,0,0,0,SUPP,0,0,SUPP,5,96%,13%,SUPP,0%,80%,SUPP,0%,0%,0%,SUPP,0%,0%,SUPP,3%
100059,170,160,10,0,SUPP,130,10,0,0,0,0,0,0,15,5,90%,7%,0%,SUPP,76%,6%,0%,0%,0%,0%,0%,0%,9%,2%
100092,10,SUPP,SUPP,0,0,0,0,0,0,0,0,0,0,5,SUPP,SUPP,SUPP,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,43%,SUPP
100096,20,20,10,0,SUPP,0,0,SUPP,0,5,0,0,0,0,0,100%,53%,0%,SUPP,0%,0%,SUPP,0%,27%,0%,0%,0%,0%,0%
100182,170,150,35,0,5,75,40,0,0,0,5,0,0,15,5,88%,21%,0%,2%,42%,23%,0%,0%,0%,3%,0%,0%,9%,3%
100183,230,220,40,SUPP,5,145,25,0,0,SUPP,15,0,SUPP,15,5,92%,17%,SUPP,3%,61%,10%,0%,0%,SUPP,6%,0%,SUPP,6%,1%
137473,210,180,50,0,SUPP,125,5,0,0,0,5,0,0,15,15,84%,22%,0%,SUPP,59%,1%,0%,0%,0%,2%,0%,0%,8%,8%
141163,220,200,30,0,5,150,20,0,0,0,10,0,0,10,10,91%,13%,0%,2%,67%,9%,0%,0%,0%,5%,0%,0%,4%,4%
141309,220,180,20,SUPP,5,140,10,0,0,0,10,0,5,25,15,81%,9%,SUPP,2%,64%,4%,0%,0%,0%,4%,0%,1%,12%,7%
100190,240,200,35,SUPP,SUPP,160,0,0,0,0,5,0,SUPP,25,10,85%,15%,SUPP,SUPP,69%,0%,0%,0%,0%,1%,0%,SUPP,11%,4%
100192,200,170,20,0,5,135,10,0,0,SUPP,5,0,0,20,5,87%,11%,0%,2%,68%,6%,0%,0%,SUPP,4%,0%,0%,10%,3%
100193,120,120,10,5,SUPP,50,50,0,0,0,SUPP,0,0,5,SUPP,96%,8%,2%,SUPP,41%,43%,0%,0%,0%,SUPP,0%,0%,3%,SUPP
100196,120,110,5,0,5,70,30,0,0,0,5,0,SUPP,5,5,92%,6%,0%,3%,59%,23%,0%,0%,0%,3%,0%,SUPP,4%,4%
105135,140,130,20,0,5,20,85,0,0,0,15,0,SUPP,10,5,92%,13%,0%,4%,15%,58%,0%,0%,0%,9%,0%,SUPP,6%,3%
100204,10,10,5,0,0,SUPP,0,0,0,0,0,0,0,SUPP,SUPP,63%,38%,0%,0%,SUPP,0%,0%,0%,0%,0%,0%,0%,SUPP,SUPP
138547,20,20,5,0,0,SUPP,0,0,0,15,0,0,0,0,SUPP,91%,18%,0%,0%,SUPP,0%,0%,0%,68%,0%,0%,0%,0%,SUPP
100277,170,150,55,0,5,65,30,0,0,0,0,0,0,10,5,89%,32%,0%,2%,38%,17%,0%,0%,0%,0%,0%,0%,7%,4%
137442,170,160,55,0,SUPP,85,20,0,0,0,SUPP,0,0,5,5,95%,32%,0%,SUPP,50%,12%,0%,0%,0%,SUPP,0%,0%,2%,2%
100279,240,210,70,0,SUPP,130,10,0,0,0,5,0,SUPP,10,10,91%,30%,0%,SUPP,55%,5%,0%,0%,0%,2%,0%,SUPP,4%,5%
133599,50,30,30,0,0,0,0,0,SUPP,0,0,0,0,5,10,69%,67%,0%,0%,0%,0%,0%,SUPP,0%,0%,0%,0%,11%,20%
100282,120,110,20,0,SUPP,80,10,0,0,0,0,0,0,5,0,97%,18%,0%,SUPP,70%,8%,0%,0%,0%,0%,0%,0%,3%,0%
