LA,URN,NTEA,NTEAAS,NNONTEA,NFTETEA,NFTETEAAS,NFTENONTEA,RATPUPTEA,SALARY
201,100000,19,13,10,17.3,9.5,10.0,13.0,38408
202,100005,6,13,6,5.8,12.9,5.6,16.0,43849
202,100006,4,4,2,4.0,4.0,2.0,5.3,54568
202,100007,12,6,4,7.7,5.8,4.0,1.6,46358
202,134643,8,8,3,7.5,7.0,3.0,1.5,45457
202,136807,5,4,2,3.3,3.5,1.4,13.3,42165
202,139837,2,2,1,2.0,2.0,1.0,13.3,SUPP
202,100008,22,17,7,20.6,14.7,7.0,20.3,42858
202,100009,26,22,3,24.5,19.6,3.0,18.5,42962
202,100010,22,13,9,21.6,11.1,7.9,17.3,40665
202,100011,22,19,13,19.0,13.5,9.4,22.9,43037
202,100012,21,36,7,20.7,24.0,5.7,18.7,42115
202,100013,13,16,4,11.8,10.7,3.4,20.5,40377
202,100014,14,18,3,12.3,14.4,2.2,18.7,45521
202,100015,6,8,4,4.2,5.4,3.2,26.2,50108
202,100018,28,34,9,26.7,25.7,8.8,16.3,43204
202,100019,25,22,8,20.1,14.5,6.7,21.5,46520
202,100020,27,32,9,24.5,28.7,8.0,19.9,44123
202,100021,24,28,11,21.9,21.5,8.5,19.7,39509
202,100022,23,23,13,21.8,17.8,12.9,21.1,45174
202,100023,12,10,3,12.0,7.6,3.0,19.8,42571
202,100024,15,13,5,12.5,10.5,3.9,18.2,42802
202,100025,25,33,8,23.2,23.3,5.1,20.3,46663
202,100026,13,11,2,12.8,9.5,2.0,17.9,42566
202,100027,16,12,5,12.1,8.6,4.1,19.6,44254
202,130342,14,20,7,12.4,14.3,4.3,18.5,43819
202,132245,29,13,9,27.1,12.1,9.0,19.2,41977
202,100028,11,9,3,9.8,6.6,2.5,19.2,40204
202,100029,13,18,3,12.6,11.9,3.0,18.1,40880
202,100030,10,8,4,9.5,7.0,3.6,21.8,47957
202,100031,9,7,4,9.0,4.9,3.5,22.6,41053
202,100032,11,13,3,9.8,11.4,2.8,19.1,42624
202,100033,11,11,2,10.6,7.7,1.8,19.6,36075
202,100034,21,31,3,18.1,19.8,2.9,14.7,44885
202,100035,18,16,4,15.4,9.9,3.2,21.9,47814
202,100036,11,19,5,9.4,14.5,2.9,19.8,45875
202,100037,13,12,2,11.7,10.9,2.0,19.4,47064
202,100038,13,15,4,12.2,11.8,2.9,16.7,38641
202,100039,12,14,7,11.5,11.4,6.7,25.5,46948
202,100040,12,13,3,11.2,12.5,3.0,18.8,40147
202,100041,14,9,3,13.4,7.5,3.0,16.1,41403
202,100042,9,11,4,7.1,10.6,3.7,31.4,37961
202,100043,14,15,3,13.5,13.3,3.0,17.3,37615
202,100044,14,13,4,10.4,10.9,3.9,22.0,58355
202,100045,16,12,4,13.3,9.7,3.6,17.3,45387
202,100046,13,10,2,11.8,8.3,2.0,17.7,43198
202,100047,11,8,4,10.4,8.0,2.2,20.2,47174
202,100048,11,5,3,10.8,4.9,3.0,17.9,39523
202,137181,47,11,14,44.2,11.0,13.7,12.1,45172
202,100049,107,13,32,104.2,11.1,29.4,11.8,48325
202,100050,102,16,35,99.4,14.4,33.3,12.3,42442
202,100051,67,22,28,65.6,19.5,26.0,11.9,44072
202,100052,98,27,32,93.8,22.6,27.0,13.4,42998
202,100053,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS
202,100054,85,16,33,67.1,10.6,25.9,15.1,47890
202,100055,56,18,19,53.0,18.0,17.7,11.6,45981
202,100056,70,21,22,68.5,17.0,19.4,12.1,49054
202,100059,92,12,31,85.1,10.7,25.6,14.0,45171
