LA,URN,NTEA,NTEAAS,NNONTEA,NFTETEA,NFTETEAAS,NFTENONTEA,RATPUPTEA,SALARY
202,100094,NA,NA,NA,NA,NA,NA,NA,NA
202,100096,46,38,84,45.0,35.4,78.1,6.5,48680
203,100111,21,33,8,19.1,22.4,5.3,21.7,41351
203,100112,17,20,26,16.0,17.0,21.9,16.8,43803
203,100113,29,25,13,27.0,17.2,8.1,21.2,36298
203,100114,21,19,7,19.4,12.8,6.3,18.1,38514
203,100115,18,25,3,15.2,14.3,2.6,15.5,38107
203,100120,17,22,10,16.4,11.7,7.3,21.0,38820
203,100125,17,9,7,16.0,4.9,6.5,23.5,41138
203,100126,24,28,4,22.3,19.5,4.0,18.8,41875
203,100127,20,22,6,17.4,13.0,4.7,24.7,43682
203,100128,19,28,28,18.0,19.9,24.1,14.5,42455
203,100129,18,13,7,17.3,11.3,6.9,17.8,37437
203,100130,18,11,6,16.2,7.1,4.0,21.3,39587
203,100131,18,17,7,15.9,10.2,5.0,20.6,43433
203,100132,21,27,9,19.4,17.0,6.5,18.6,41657
203,100134,14,19,11,13.0,14.6,8.8,22.5,38882
203,100136,16,16,7,15.8,9.0,6.1,22.7,40435
203,100137,16,16,5,10.8,12.6,4.2,20.5,NA
203,100140,33,37,6,30.0,27.7,5.9,21.1,43006
203,100141,25,24,7,23.2,15.0,6.0,19.8,39025
203,100142,13,15,5,11.4,8.8,4.6,19.9,45052
203,100145,24,21,9,22.5,12.9,6.2,20.1,40029
203,100146,18,22,5,15.9,14.1,4.2,26.7,46430
203,100148,14,8,4,12.7,7.0,3.8,18.2,39712
203,100149,17,22,4,14.4,14.3,3.5,30.0,40936
203,100150,22,23,7,18.8,14.7,6.6,20.6,35499
203,100151,14,16,5,10.9,8.1,4.0,22.7,43062
203,100152,24,30,9,22.5,21.5,8.7,22.0,43936
203,100154,14,11,6,9.7,6.5,5.2,21.2,50608
203,100155,29,25,8,22.6,19.0,7.7,20.6,46965
203,100156,28,46,8,26.9,33.9,6.4,20.6,39694
203,100157,10,11,5,9.3,7.6,4.0,34.3,46349
203,100158,40,43,8,37.7,28.0,7.6,18.3,35039
203,100159,27,24,4,23.3,23.0,4.0,19.4,39726
203,100160,12,17,7,10.8,10.3,5.7,20.6,40124
203,100162,14,21,4,11.2,11.7,3.7,19.6,48277
203,100163,24,31,22,22.4,22.4,21.4,20.3,40555
203,100164,18,26,11,17.4,16.0,10.0,25.3,37290
203,100165,12,13,6,9.0,8.6,2.5,18.5,36349
203,100166,11,12,3,9.1,5.5,2.7,20.9,44589
203,100167,16,21,3,13.6,13.2,2.4,22.6,37796
203,100168,15,12,4,11.8,7.2,3.2,19.2,42574
203,100169,15,13,4,16.6,8.2,3.3,11.9,37799
203,100170,12,16,5,10.2,10.7,4.4,27.5,46714
203,100171,19,21,5,18.6,14.6,4.5,18.6,43170
203,100172,24,19,6,21.4,11.8,4.4,21.8,42798
203,100173,18,13,6,17.0,9.2,4.3,19.8,38042
203,100174,11,11,5,10.9,7.7,3.9,19.8,43197
203,100175,11,13,4,9.5,9.9,3.3,22.0,42739
203,100176,11,9,4,10.0,6.5,3.3,20.5,42461
203,100177,14,20,3,12.1,12.4,2.7,21.2,42490
203,100178,12,11,10,10.2,8.5,6.0,18.5,42218
203,100179,13,9,4,11.8,6.9,3.1,21.1,44456
203,100180,15,11,4,11.4,7.7,4.0,22.3,39619
203,100181,13,19,7,11.2,12.6,3.4,19.1,38246
203,100182,61,31,24,56.3,25.2,18.4,14.0,42944
203,100183,142,52,70,130.5,44.4,55.0,12.5,44912
203,100187,121,44,29,114.6,30.9,28.3,11.5,41599
203,100189,120,43,38,115.2,31.3,36.9,14.7,44621
203,100190,132,54,34,122.7,41.8,29.9,14.6,43673
203,100192,103,27,34,96.7,18.0,26.9,12.8,43634
203,100193,39,8,17,38.2,5.8,14.7,15.6,46631
203,100195,36,5,19,35.6,3.5,17.9,9.2,45170
203,100196,41,13,17,35.5,9.9,12.8,17.5,46714
203,100197,29,41,9,26.1,26.7,7.7,21.3,44394
203,100204,11,9,3,10.6,8.6,3.0,3.6,42639
204,100218,28,21,5,27.2,13.9,4.7,17.7,42442
204,100221,16,14,5,16.0,11.2,3.9,18.6,40577
204,100223,34,27,25,34.0,23.4,19.4,19.0,41306
204,100224,18,19,8,17.8,13.6,6.6,20.4,33812
204,100225,29,22,12,28.2,17.3,10.4,17.3,37051
204,100229,19,41,12,17.8,27.1,8.7,21.2,39299
204,100230,28,15,13,27.4,11.9,5.6,18.3,33345
204,100231,31,46,12,29.1,39.2,11.3,20.8,39231
204,100232,18,28,8,17.8,23.0,6.7,29.0,38733
204,100233,25,16,6,21.2,11.2,5.1,23.8,40936
204,100234,33,21,11,31.4,18.1,10.4,14.7,40269
204,100235,20,15,9,17.5,13.7,6.5,20.1,47802
204,100236,25,33,6,23.7,21.2,5.2,19.7,41269
204,100239,19,28,12,18.2,20.0,9.6,24.7,42246
204,100240,32,26,8,31.2,20.7,6.3,13.3,37950
204,100241,21,18,9,22.0,15.9,8.8,20.6,33279
204,100242,18,15,14,18.0,12.7,10.2,23.8,33445
204,100243,18,16,5,18.0,15.3,3.9,18.7,42037
204,100244,28,31,12,26.0,24.1,10.8,17.5,41601
204,100245,24,29,10,23.1,21.3,8.0,15.6,36302
204,100248,28,28,7,26.8,21.5,5.2,20.0,37726
204,100250,18,15,6,17.1,11.4,4.7,15.5,43809
204,100251,23,18,8,20.6,13.0,7.8,19.6,39088
204,100252,14,14,10,13.3,7.7,5.1,17.5,44878
204,100253,29,22,13,25.7,12.9,11.3,18.3,36433
204,100254,16,9,5,13.4,6.6,4.3,17.2,43255
204,100255,13,13,7,13.0,9.9,5.3,17.0,37897
204,100256,17,13,8,15.3,11.2,7.8,21.5,39095
204,100257,15,25,4,13.4,13.1,2.8,17.0,39105
204,100258,27,19,9,25.7,15.5,7.4,19.6,41824
204,100259,17,10,6,14.2,7.6,4.3,16.2,45546
204,100260,26,25,7,24.3,15.5,5.7,18.7,42780
204,100261,21,19,8,21.0,14.5,6.9,18.8,35248
204,100263,17,7,5,17.0,6.2,3.3,13.8,38523
204,100264,12,13,5,11.6,10.2,4.5,20.1,41690
204,100266,20,18,7,19.2,12.3,6.8,18.1,34949
204,100267,14,9,2,13.4,6.4,1.9,18.6,40130
204,100268,14,11,5,12.4,8.3,4.4,17.7,43406
204,100269,11,6,4,10.8,4.7,3.9,19.0,41394
204,100270,12,7,5,11.5,4.6,5.0,20.7,39358
204,100271,14,9,3,13.4,7.5,3.0,18.1,37894
204,100274,13,10,5,12.1,7.8,3.6,18.6,41983
204,100275,11,8,4,10.5,3.8,4.0,20.5,39469
204,100277,80,9,22,73.2,7.9,19.8,13.2,43041
204,100279,114,46,36,105.7,39.1,31.9,13.6,43337
204,100282,61,10,14,57.8,10.0,13.0,12.9,47344
204,100284,57,17,19,56.0,14.1,18.6,13.7,44744
204,100285,73,13,22,71.1,13.0,21.9,14.2,42200
204,100307,18,10,8,16.4,8.8,6.0,6.0,54718
204,100308,9,14,1,9.0,12.6,1.0,3.8,38002
204,100311,10,35,1,9.8,34.9,1.0,7.3,40195
204,100312,13,24,2,13.0,21.5,2.0,5.1,43332
205,100321,25,21,7,23.1,14.0,5.7,20.0,39199
205,100322,15,11,4,12.6,6.1,3.5,18.8,42456
205,100324,24,19,8,21.4,12.7,6.8,23.5,40087
205,100325,24,13,6,23.4,10.4,6.0,18.4,39419
205,100326,18,9,10,16.1,5.7,9.3,16.5,43127
205,100328,17,16,4,13.0,13.1,3.5,20.3,40041
205,100329,23,23,8,21.8,15.6,6.4,16.2,40910
205,100330,10,13,3,10.0,9.6,2.7,22.7,46557
205,100331,13,16,3,12.8,12.2,3.0,18.0,37890
205,100332,19,13,10,17.2,11.5,7.4,15.1,34813
205,100333,15,13,4,12.7,8.6,4.0,16.9,44953
205,100334,26,28,16,23.7,14.0,10.5,16.8,38102
205,100335,25,12,7,22.0,8.3,7.0,17.5,41181
205,100337,18,13,6,16.0,10.1,5.1,13.0,41615
205,100338,23,16,11,22.4,9.3,10.4,22.0,41711
205,100339,21,19,5,17.9,13.3,4.4,16.9,36745
205,100340,25,16,9,22.8,11.9,6.8,20.9,37639
205,100341,25,19,12,23.8,15.3,10.6,18.1,39126
205,100343,11,10,6,10.8,6.2,5.6,20.6,40582
205,100344,14,9,7,12.2,5.7,5.4,20.3,39769
205,100345,16,17,3,13.8,14.3,3.0,24.5,34208
205,100346,13,10,4,11.6,5.1,2.7,20.5,43781
205,100347,10,7,4,8.8,4.6,3.5,30.5,42210
205,100349,18,15,3,17.2,8.7,3.0,21.9,37978
205,100350,14,9,5,12.2,5.4,4.8,18.6,41357
205,100351,15,16,5,13.2,12.3,3.4,16.7,40585
205,100352,14,9,6,11.0,5.5,5.5,21.2,41648
205,100353,11,9,4,10.4,6.6,4.0,25.2,44964
205,100354,15,8,6,12.2,3.9,5.3,23.0,42981
205,100355,15,13,4,13.6,10.2,3.7,22.0,40862
205,100357,20,14,7,19.2,9.2,6.0,19.0,40174
205,100358,36,20,19,34.7,17.7,17.1,12.4,42960
205,100359,74,26,26,72.2,22.2,24.0,14.0,41360
205,100360,43,11,22,41.6,10.1,17.7,15.3,45128
205,100361,44,2,16,43.1,1.8,13.3,14.6,43699
205,100378,22,62,9,21.2,56.4,8.4,7.1,45143
205,100379,17,13,2,15.8,11.2,2.0,5.8,46539
205,100381,16,39,6,14.4,31.2,5.8,4.9,42119
205,100382,13,17,3,13.0,14.3,2.9,5.8,48149
206,100397,18,10,18,15.9,7.2,16.2,15.8,40853
206,100401,15,9,5,12.6,5.1,5.0,20.5,41545
206,100402,17,16,7,14.9,8.6,5.9,20.3,39246
206,100403,26,18,8,23.8,13.9,6.3,19.7,39764
206,100405,13,9,5,12.0,6.9,3.9,19.1,45328
206,100406,25,27,5,24.1,16.1,4.5,19.6,41035
206,100407,20,14,5,17.1,8.4,4.0,19.8,34624
206,100408,11,12,17,11.0,11.4,13.9,19.8,42804
206,100411,30,29,6,28.3,18.8,4.2,14.6,45487
206,100415,12,11,7,11.6,9.3,5.9,19.3,41289
206,100418,19,18,8,16.6,11.2,7.4,20.3,40996
206,100422,17,16,21,15.8,11.9,17.0,15.6,43047
206,100425,21,21,5,21.0,17.1,4.2,21.7,42168
206,100426,10,8,7,10.0,5.9,6.1,24.0,43897
206,100428,12,11,7,11.0,7.7,6.2,18.9,39273
206,100429,28,25,7,21.1,14.7,5.3,22.3,43661
206,100430,18,11,4,14.2,6.7,3.9,20.9,33429
206,100431,20,12,8,19.8,9.2,6.7,20.0,42519
206,100432,23,19,5,18.9,13.9,4.1,17.4,38892
206,100434,22,15,12,21.1,11.2,10.1,22.5,39849
206,100435,25,31,23,24.0,18.1,21.2,18.1,42062
206,100436,11,8,4,10.2,6.0,3.6,19.4,39959
206,100437,23,19,8,22.4,13.7,7.4,19.3,39557
206,100438,17,15,4,15.2,9.9,4.0,19.8,39368
206,100439,10,14,11,10.0,9.4,4.7,21.9,40488
206,100440,10,7,2,9.6,6.7,1.7,21.1,44494
206,100441,26,24,6,23.2,14.8,5.6,18.4,39069
206,100442,11,13,4,9.9,9.4,3.6,20.4,44099
206,100443,13,8,6,12.4,5.8,4.4,22.6,39190
206,100444,9,16,3,8.0,11.0,2.7,24.7,40573
206,100446,11,10,2,10.2,5.3,2.0,17.6,37809
206,100447,13,6,2,13.0,3.6,2.0,23.0,44348
206,100448,9,12,4,9.0,9.9,4.0,21.2,38510
206,100449,21,17,7,19.7,12.1,5.3,21.5,44207
206,100450,18,18,3,17.4,11.7,2.6,23.4,41227
206,100451,14,17,5,11.6,8.6,4.0,18.1,44202
206,100452,91,15,20,89.0,12.4,19.4,13.9,41456
206,100453,68,14,13,67.4,12.6,11.5,11.5,43736
206,100455,55,17,19,52.7,14.3,16.0,14.4,45126
206,100457,59,11,19,56.5,8.6,16.6,14.6,49863
206,100458,73,8,19,68.3,7.6,17.9,13.2,43508
206,100459,69,10,14,63.3,7.3,13.6,16.1,48107
206,100460,41,8,11,40.2,7.9,10.4,13.7,45899
206,100467,16,44,9,15.0,33.6,7.9,4.9,48100
206,100469,21,9,6,17.1,8.2,6.0,5.3,46768
207,100477,14,12,4,12.5,7.5,3.5,16.4,37469
207,100478,19,19,6,19.0,13.7,6.0,18.4,37577
207,100479,20,18,7,19.2,15.2,5.8,17.3,37355
207,100480,26,29,7,23.3,18.9,5.3,19.8,43073
207,100481,23,9,9,21.2,7.0,7.8,19.7,37367
207,100482,33,20,4,30.1,16.9,4.0,14.7,39641
207,100483,18,19,4,17.0,15.8,3.9,18.6,38332
207,100484,18,19,6,17.0,12.8,4.5,13.5,39967
207,100485,29,20,6,26.1,16.0,5.8,17.5,37269
207,100486,14,15,8,14.0,11.5,7.2,21.4,39518
207,100487,26,21,9,24.4,15.5,7.6,17.6,40214
207,100488,13,12,3,11.0,8.3,2.9,22.1,42615
207,100489,14,17,3,12.6,13.3,2.8,21.7,42670
207,100490,15,9,7,15.0,5.6,6.7,17.4,45019
207,100491,10,8,2,9.8,6.2,1.6,21.1,34719
207,100492,18,13,5,15.0,10.0,2.0,16.8,43757
207,100493,12,11,3,10.4,8.3,3.0,20.9,44106
207,100494,18,18,2,17.6,11.2,2.0,24.1,47994
207,100495,13,16,5,12.5,12.6,4.0,18.5,38739
207,100496,15,10,7,14.2,8.2,5.5,17.7,40528
207,100497,13,9,3,11.4,6.4,3.0,18.2,46173
207,100498,13,13,6,11.4,10.2,5.0,18.9,41630
207,100499,25,16,4,21.5,12.5,2.5,19.5,39346
207,100500,12,16,5,11.4,10.2,4.8,20.6,44644
207,100501,74,18,26,73.8,17.3,26.0,18.0,39550
207,100502,55,7,18,47.9,6.0,17.0,13.9,48439
207,100503,45,10,18,44.2,10.0,16.5,13.0,38918
207,100504,14,11,7,11.9,8.1,6.2,19.6,39557
207,100505,24,24,7,18.2,11.9,5.7,18.9,41266
207,100506,101,10,25,77.1,8.4,23.2,13.4,45419
207,100548,15,36,56,14.6,28.4,40.4,5.1,49538
207,100549,NA,NA,NA,NA,NA,NA,NA,NA
208,100556,17,11,5,14.6,10.0,4.9,18.2,37905
208,100560,32,21,8,27.7,14.8,6.6,15.8,42568
208,100564,30,21,10,29.6,15.4,8.7,15.6,42568
208,100566,31,16,11,28.8,12.4,10.4,15.1,39476
208,100567,40,27,17,36.6,22.1,15.0,18.7,36966
208,100572,21,17,8,20.6,17.0,8.0,21.6,39665
208,100574,47,72,24,46.2,63.5,23.3,16.0,38815
208,100576,34,33,15,32.4,26.6,13.1,12.8,38650
208,100577,12,19,4,12.0,18.9,4.0,18.9,38858
208,100578,25,17,8,23.0,12.1,8.0,18.2,41880
208,100582,30,27,13,27.8,16.9,11.5,19.7,45145
208,100584,22,16,13,19.9,14.4,7.8,20.6,43763
208,100585,32,22,15,30.7,16.6,13.5,17.6,42694
208,100586,16,16,4,14.7,12.6,3.4,19.1,38225
208,100588,18,17,7,16.3,12.8,5.3,12.9,40634
208,100589,16,14,3,14.9,11.6,2.4,21.5,40278
208,100590,28,18,8,25.8,17.0,7.7,19.6,39186
208,100591,36,57,14,35.0,43.3,11.9,14.7,41185
208,100593,29,38,7,27.6,30.3,6.2,17.7,39423
208,100595,14,36,10,13.0,31.5,9.6,46.1,NA
208,100597,16,23,4,15.6,21.9,3.5,20.4,38617
208,100598,11,19,5,11.0,18.4,5.0,39.5,43615
208,100601,23,22,18,19.7,16.2,11.4,24.0,38448
208,100602,20,19,10,20.0,13.9,9.5,21.6,40657
208,100604,14,11,4,12.7,6.8,4.0,17.6,45810
208,100608,14,14,7,12.4,9.9,5.5,18.8,45728
208,100609,16,17,5,15.0,16.1,4.3,17.6,39931
208,100610,14,21,2,13.5,20.5,1.7,12.4,40543
208,100611,12,7,3,11.0,5.0,2.9,18.6,41564
208,100612,14,12,5,12.3,9.0,4.3,22.8,49353
208,100613,13,9,7,11.7,6.9,5.1,19.3,41754
208,100614,15,10,5,12.2,7.8,5.0,17.9,43816
208,100615,12,15,4,11.5,12.5,3.1,21.4,39821
208,100616,14,8,3,11.5,6.6,3.0,18.2,41387
208,100617,14,13,3,12.1,9.4,2.8,17.3,41717
208,100618,10,12,3,9.5,12.0,3.0,20.5,40078
208,100619,11,13,4,10.3,8.9,3.4,18.5,43478
208,100620,10,12,4,5.5,7.6,2.7,41.5,SUPP
208,100621,12,10,5,12.0,9.5,4.9,19.1,40364
208,100622,23,21,5,20.8,18.3,4.1,18.8,38357
208,100623,17,14,4,16.0,9.7,3.1,16.9,41762
208,100624,80,7,13,74.3,7.0,12.5,10.9,43340
208,100625,50,37,23,50.0,34.6,22.7,15.1,43250
208,100627,46,10,15,39.8,8.4,14.0,10.8,46689
208,100628,15,16,5,13.4,9.8,4.4,18.0,41676
208,100629,25,24,5,24.4,15.4,4.7,16.5,40372
208,100631,12,20,1,11.2,15.4,1.0,19.7,35914
208,100632,24,20,6,22.4,17.5,5.9,20.0,39467
208,100633,19,13,8,17.4,10.5,7.5,21.5,40403
208,100634,15,15,4,13.5,11.7,4.0,18.0,41654
208,100636,22,12,5,19.8,8.8,5.0,16.9,41969
208,100637,65,9,22,61.6,7.9,18.1,15.3,45447
208,100638,81,26,21,78.7,22.3,17.7,14.4,45108
208,100640,44,5,12,42.8,4.0,12.0,13.8,44118
208,100642,53,15,16,53.0,15.0,16.0,13.2,42180
208,100643,14,25,4,13.8,24.7,3.2,9.5,46262
208,100654,14,21,2,12.4,20.3,2.0,8.0,51678
208,100659,12,17,3,12.0,15.0,3.0,6.2,44197
209,100671,1,NA,NA,1.0,NA,NA,SUPP,SUPP
209,100672,27,21,7,25.0,14.5,5.2,18.9,39243
209,100673,11,20,8,8.8,9.4,6.2,29.6,45331
209,100674,18,12,9,16.0,8.9,6.1,18.2,40951
209,100675,25,26,12,23.0,20.7,9.3,18.6,39456
209,100676,28,23,12,26.6,16.1,11.5,22.3,43604
209,100677,11,9,5,10.7,5.3,5.0,44.8,47174
209,100678,25,24,5,23.2,19.5,4.7,26.8,31087
209,100679,20,29,5,18.8,14.4,4.7,25.3,37190
209,100680,19,23,8,15.6,12.9,6.4,30.2,40224
209,100681,6,18,2,5.4,11.9,2.0,SUPP,35327
209,100683,5,1,4,4.6,0.9,3.4,SUPP,41971
209,100684,31,29,9,28.6,17.8,6.2,19.2,38675
209,100685,10,13,8,9.4,8.1,6.3,30.3,43115
209,100686,18,19,4,17.0,13.5,3.6,24.2,45680
209,100687,26,11,8,24.8,7.7,7.3,26.7,40307
209,100688,19,20,5,16.3,11.7,5.0,29.3,44499
209,100689,3,14,3,2.0,9.5,2.4,SUPP,SUPP
209,100690,30,30,6,25.2,21.3,4.1,23.7,44050
209,100691,7,8,4,6.2,6.7,3.8,SUPP,46391
209,100692,17,32,5,17.0,26.6,4.3,25.1,36835
209,100693,12,22,6,10.4,17.0,5.3,43.7,44518
209,100695,5,13,4,4.2,11.4,3.2,SUPP,30069
209,100696,25,24,6,22.0,16.7,4.8,17.8,43380
209,100699,3,NA,1,2.6,NA,1.0,SUPP,SUPP
209,100700,22,14,7,20.4,10.0,5.5,23.7,37315
209,100701,18,24,3,15.3,15.0,2.9,35.3,49446
209,100702,13,13,6,12.4,9.5,3.4,25.1,45188
209,100703,17,18,1,15.1,8.7,1.0,20.7,37667
209,100704,11,14,3,10.0,9.3,2.3,31.8,44935
209,100705,3,12,3,2.8,5.8,1.7,SUPP,SUPP
209,100707,13,17,5,11.5,8.0,3.0,32.2,46392
209,100708,13,12,5,11.2,6.9,3.6,28.7,47516
209,100709,6,15,9,6.0,10.4,6.6,SUPP,46589
209,100710,30,36,10,25.3,23.3,7.1,21.5,43016
209,100711,21,16,6,19.1,10.9,4.7,27.4,40175
209,100712,16,10,5,11.7,9.2,4.3,17.2,43232
209,100713,7,20,6,6.6,12.7,5.3,SUPP,38348
209,100714,12,17,7,9.4,8.8,2.5,26.4,44792
209,100715,15,22,9,13.7,15.5,5.3,16.0,42028
209,100716,5,8,5,4.4,5.0,4.0,SUPP,42019
209,100717,12,13,5,10.9,10.8,4.0,23.8,46290
209,100718,22,20,6,20.5,16.3,6.0,20.0,38836
209,100719,14,8,3,10.1,6.3,2.2,23.1,49915
209,100720,7,10,2,6.2,6.7,2.0,32.1,46265
209,100721,13,6,6,12.4,3.6,5.4,18.5,43194
209,100722,8,9,4,8.0,8.3,2.6,36.6,44056
209,100723,7,8,4,5.4,7.3,4.0,35.7,44533
209,100724,10,12,4,8.9,6.8,3.8,24.4,36888
209,100725,14,12,4,12.0,7.1,2.9,18.3,38942
209,100726,13,18,3,9.4,13.8,2.9,31.8,43147
209,100727,13,4,4,12.0,2.6,3.2,19.7,39320
209,100728,7,9,7,6.6,6.0,4.3,32.1,38818
209,100729,4,11,3,4.0,8.0,2.8,SUPP,45266
209,100730,5,6,4,5.0,4.5,3.1,47.8,43322
209,100731,10,12,4,8.7,6.6,2.5,25.5,41993
209,100732,10,14,5,9.2,8.0,4.1,35.0,34812
209,100733,9,13,3,7.6,8.1,2.9,29.6,43514
209,100734,12,7,4,10.4,6.1,3.6,24.6,45658
209,100735,6,10,3,4.8,4.7,2.5,32.3,50273
209,100737,12,5,2,10.3,3.4,1.8,25.4,49917
209,100738,6,10,2,4.9,5.0,2.0,41.2,SUPP
209,100739,8,9,5,7.2,5.1,4.5,34.2,39976
209,100740,93,9,25,88.0,8.3,24.3,11.2,40218
209,100741,97,17,46,92.6,13.2,32.1,15.3,42704
209,100742,61,33,19,60.7,30.6,16.7,15.9,46391
209,100743,111,36,43,101.9,30.0,39.0,14.6,45774
209,100745,88,30,32,84.8,22.0,30.2,16.6,46009
209,100747,59,5,21,58.8,4.7,20.6,17.1,48607
209,100748,50,17,20,48.7,14.2,17.3,12.5,48953
209,100749,22,5,3,21.7,3.9,2.2,25.0,37728
209,100750,59,7,24,53.8,5.6,20.3,16.7,49794
209,100752,52,NA,9,50.4,NA,7.2,15.0,43690
209,100753,25,18,5,24.6,16.4,4.9,20.6,40636
209,100760,26,23,5,23.0,18.5,4.9,6.9,48116
209,100763,24,13,4,24.0,13.0,3.1,0.4,44005
209,100765,12,3,2,11.5,2.7,2.0,9.5,45638
209,100766,15,19,17,13.6,17.1,15.0,6.5,44417
210,100774,9,9,4,9.0,6.8,3.9,26.2,41243
210,100775,12,15,5,11.5,10.9,3.8,21.4,42430
210,100780,25,22,8,24.4,14.9,7.8,20.9,40185
210,100781,5,9,3,5.0,8.8,3.0,SUPP,31110
210,100782,23,17,4,22.4,12.5,3.4,19.2,38456
210,100783,NA,NA,NA,NA,NA,NA,NA,NA
210,100784,13,14,3,11.9,10.1,2.4,20.4,43713
210,100785,20,36,10,19.3,27.3,9.5,21.6,47541
210,100786,25,28,9,20.9,21.8,7.7,21.9,37611
210,100789,15,14,5,14.6,10.4,4.4,28.2,39855
210,100790,10,4,5,8.2,2.9,5.0,SUPP,45312
210,100791,15,16,7,14.4,10.8,6.4,22.7,38718
210,100793,21,11,7,19.8,8.9,5.8,22.3,38748
210,100794,11,16,5,10.3,11.9,4.2,28.6,47715
210,100795,23,20,9,21.7,11.8,8.1,19.4,45120
210,100796,22,20,13,19.0,14.4,10.3,23.8,SUPP
210,100797,23,25,9,22.3,20.9,9.0,21.2,38726
210,100798,29,37,6,26.1,22.4,5.7,18.2,47850
210,100800,20,14,8,18.4,10.7,7.5,19.5,38964
210,100801,12,17,5,11.2,12.0,4.4,19.5,39788
210,100802,23,13,6,21.4,8.2,6.0,19.2,41931
210,100803,11,11,3,10.6,7.6,3.0,36.9,46765
210,100808,18,20,2,16.4,18.5,2.0,19.8,38768
210,100809,17,16,7,16.8,12.2,6.8,20.9,43005
210,100810,13,35,9,12.9,28.3,8.2,34.5,48131
210,100811,9,14,2,8.0,12.4,2.0,28.4,46853
210,100812,16,21,6,16.0,15.6,5.4,27.3,38353
210,100813,14,11,5,11.9,8.3,4.1,21.9,40518
210,100814,12,15,5,12.0,10.1,4.5,20.5,39013
210,100815,9,19,4,9.0,12.6,3.5,24.7,41688
210,100816,10,16,5,10.0,11.2,4.5,33.2,43391
210,100817,15,17,5,14.1,10.6,4.8,28.0,41961
210,100818,13,12,5,12.0,9.9,4.6,18.6,43210
210,100819,20,50,13,19.2,37.5,12.0,23.9,45787
210,100821,18,29,8,16.9,20.0,8.0,30.1,NA
210,100822,8,11,2,6.1,6.5,1.8,33.6,43524
210,100823,15,17,3,13.8,16.3,2.7,22.0,41820
210,100824,28,19,6,27.6,12.5,5.5,15.8,39707
