LA,URN,NTEA,NTEAAS,NNONTEA,NFTETEA,NFTETEAAS,NFTENONTEA,RATPUPTEA,SALARY
201,100000,16,16,11,13.0,11.6,11.0,17.8,44212
202,100008,23,14,7,21.8,11.7,7.0,19.2,43312
202,100009,22,23,3,19.7,19.6,3.0,22.7,45026
202,100010,22,18,8,21.0,13.2,7.0,16.2,38413
202,100011,23,16,10,20.7,10.9,7.4,20.4,41459
202,100012,20,33,6,20.0,22.6,5.2,19.6,41782
202,100013,13,19,7,11.0,10.0,5.1,25.2,45538
202,100014,13,14,3,11.0,9.1,2.7,19.6,42390
202,100015,8,4,3,6.2,2.4,3.0,16.8,49308
202,100018,21,41,7,19.6,27.5,6.7,22.3,40482
202,100019,21,20,8,17.9,14.0,7.1,24.1,49523
202,100020,24,30,10,22.6,26.5,8.8,21.2,43571
202,100021,26,25,12,24.6,19.2,9.5,18.0,39136
202,100022,21,20,13,19.8,15.0,12.1,23.0,47348
202,100023,14,8,3,12.4,6.0,3.0,20.8,40116
202,100024,12,13,9,9.9,9.2,5.9,22.0,40911
202,100025,25,33,9,22.5,24.3,5.8,22.4,48804
202,100026,11,15,2,10.8,14.5,2.0,26.3,43405
202,100027,15,8,5,12.3,5.7,4.0,20.9,43145
202,100028,11,7,3,9.6,5.3,2.5,21.5,41094
202,100029,12,11,3,11.0,8.1,3.0,21.7,42579
202,100030,10,6,4,9.1,4.8,3.6,26.4,42865
202,100031,10,5,5,10.0,4.3,5.0,22.6,39536
202,100032,14,9,1,13.0,7.2,1.0,17.5,40063
202,100033,21,12,2,19.2,8.1,1.8,12.0,39452
202,100034,19,24,3,16.6,15.0,2.9,17.3,47581
202,100035,16,17,4,14.2,10.9,3.2,23.6,46525
202,100036,14,18,5,12.4,12.3,2.9,15.7,42968
202,100037,14,8,3,12.5,7.2,2.8,17.6,45432
202,100038,12,13,4,10.8,9.8,2.9,20.3,45388
202,100039,18,13,8,14.0,9.7,7.9,22.7,41638
202,100040,10,14,2,10.0,13.4,2.0,20.7,44332
202,100041,12,9,4,11.4,7.3,3.6,20.4,38570
202,100042,13,12,5,11.6,10.7,3.6,19.2,43416
202,100043,14,12,5,13.0,9.9,5.0,17.9,38264
202,100044,15,15,3,13.1,12.4,3.0,19.2,43870
202,100045,15,11,4,12.9,9.7,3.6,17.8,42390
202,100046,13,10,2,11.4,7.1,2.0,19.7,40840
202,100047,9,7,4,8.4,6.8,2.2,24.9,49815
202,100048,10,3,4,9.8,3.0,4.0,24.2,39775
202,100049,100,12,30,97.3,10.0,27.4,12.4,47645
202,100050,100,13,34,96.6,11.0,32.3,13.8,44270
202,100051,109,33,30,105.2,25.0,28.1,7.9,43398
202,100052,98,28,29,95.3,25.4,25.7,14.0,40626
202,100053,95,22,30,87.1,18.1,27.0,14.2,45922
202,100054,88,17,36,70.2,11.9,26.8,14.4,48721
202,100055,61,15,25,58.0,13.9,24.7,12.4,48975
202,100056,70,19,17,68.4,16.1,16.4,12.7,46359
202,100059,99,15,35,92.6,11.3,27.5,13.2,46446
202,100060,NA,NA,NA,NA,NA,NA,NA,NA
202,100091,8,10,6,6.0,8.4,4.4,5.7,46816
202,100092,11,3,4,10.1,3.0,3.6,3.7,54643
