URN,COHORT,OVERALL,FEC,INDEP,OTHERFE,SSF,SFC,SPI,AP_PRU,SPECIAL,APPREN,HE,COMBO,KNOWN,UNKNOWN,OVERALLPER,FECPER,INDEPPER,OTHERFEPER,SSFPER,SFCPER,SPIPER,AP_PRUPER,SPECIALPER,APPRENPER,HEPER,COMBOPER,KNOWNPER,UNKNOWNPER
100049,200 ,160 ,25 ,0 ,5 ,125 ,5 ,0 ,0 ,0 ,5 ,0 ,SUPP,25 ,15 ,81%,12%,0%,3%,63%,3%,0%,0%,0%,2%,0%,SUPP,13%,7%
100050,170 ,150 ,15 ,SUPP,5 ,125 ,5 ,0 ,0 ,0 ,5 ,0 ,SUPP,10 ,10 ,90%,9%,SUPP,4%,73%,2%,0%,0%,0%,2%,0%,SUPP,5%,6%
100051,170 ,140 ,25 ,SUPP,10 ,105 ,5 ,0 ,0 ,0 ,5 ,0 ,SUPP,10 ,20 ,83%,15%,SUPP,5%,59%,2%,0%,0%,0%,2%,0%,SUPP,6%,11%
100052,200 ,170 ,35 ,SUPP,5 ,120 ,5 ,0 ,0 ,0 ,5 ,0 ,0 ,20 ,10 ,86%,17%,SUPP,3%,62%,3%,0%,0%,0%,2%,0%,0%,10%,4%
100053,170 ,140 ,20 ,SUPP,5 ,110 ,5 ,0 ,0 ,0 ,5 ,0 ,SUPP,20 ,10 ,83%,12%,SUPP,3%,65%,2%,0%,0%,0%,2%,0%,SUPP,12%,6%
100054,110 ,100 ,15 ,0 ,SUPP,80 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,5 ,91%,12%,0%,SUPP,71%,6%,0%,0%,0%,0%,0%,0%,3%,6%
100055,150 ,120 ,25 ,0 ,SUPP,80 ,15 ,0 ,0 ,0 ,5 ,0 ,SUPP,15 ,10 ,83%,16%,0%,SUPP,54%,10%,0%,0%,0%,2%,0%,SUPP,10%,7%
100056,120 ,100 ,15 ,SUPP,SUPP,80 ,SUPP,0 ,0 ,0 ,5 ,0 ,SUPP,10 ,10 ,84%,14%,SUPP,SUPP,66%,SUPP,0%,0%,0%,3%,0%,SUPP,8%,8%
100059,170 ,150 ,15 ,SUPP,5 ,125 ,5 ,0 ,0 ,0 ,SUPP,0 ,SUPP,10 ,10 ,88%,8%,SUPP,2%,73%,4%,0%,0%,0%,SUPP,0%,SUPP,6%,6%
100092,10 ,SUPP,SUPP,0 ,SUPP,0 ,0 ,0 ,0 ,0 ,SUPP,0 ,0 ,SUPP,5 ,SUPP,SUPP,0%,SUPP,0%,0%,0%,0%,0%,SUPP,0%,0%,SUPP,63%
100096,20 ,10 ,15 ,0 ,0 ,0 ,0 ,0 ,0 ,SUPP,0 ,0 ,0 ,SUPP,0 ,93%,87%,0%,0%,0%,0%,0%,0%,SUPP,0%,0%,0%,SUPP,0%
100182,190 ,160 ,40 ,0 ,5 ,80 ,35 ,0 ,0 ,0 ,10 ,0 ,SUPP,15 ,10 ,85%,22%,0%,2%,43%,18%,0%,0%,0%,5%,0%,SUPP,9%,6%
100183,230 ,200 ,10 ,0 ,SUPP,170 ,15 ,0 ,0 ,0 ,10 ,0 ,SUPP,20 ,10 ,86%,4%,0%,SUPP,75%,6%,0%,0%,0%,5%,0%,SUPP,9%,5%
137473,210 ,180 ,45 ,0 ,0 ,135 ,5 ,0 ,0 ,0 ,10 ,0 ,SUPP,10 ,15 ,87%,21%,0%,0%,63%,2%,0%,0%,0%,4%,0%,SUPP,6%,8%
100187,210 ,180 ,25 ,0 ,5 ,150 ,5 ,0 ,0 ,0 ,10 ,0 ,SUPP,15 ,15 ,85%,11%,0%,1%,70%,2%,0%,0%,0%,6%,0%,SUPP,8%,7%
100189,250 ,190 ,30 ,0 ,5 ,140 ,10 ,0 ,0 ,0 ,5 ,0 ,SUPP,35 ,25 ,76%,13%,0%,3%,56%,3%,0%,0%,0%,3%,0%,SUPP,13%,11%
100190,240 ,190 ,25 ,0 ,5 ,160 ,5 ,0 ,0 ,0 ,5 ,0 ,0 ,25 ,20 ,80%,10%,0%,2%,66%,2%,0%,0%,0%,2%,0%,0%,11%,9%
100192,180 ,150 ,45 ,SUPP,5 ,85 ,10 ,0 ,0 ,0 ,10 ,0 ,0 ,25 ,15 ,79%,25%,SUPP,3%,46%,5%,0%,0%,0%,4%,0%,0%,14%,7%
100193,110 ,100 ,10 ,SUPP,0 ,40 ,50 ,0 ,0 ,0 ,SUPP,0 ,0 ,5 ,5 ,92%,9%,SUPP,0%,36%,46%,0%,0%,0%,SUPP,0%,0%,4%,4%
100195,130 ,110 ,15 ,0 ,SUPP,80 ,15 ,0 ,0 ,0 ,5 ,0 ,0 ,15 ,5 ,86%,12%,0%,SUPP,61%,12%,0%,0%,0%,5%,0%,0%,10%,4%
100196,120 ,110 ,10 ,5 ,SUPP,60 ,35 ,0 ,0 ,0 ,5 ,0 ,0 ,10 ,5 ,89%,7%,3%,SUPP,48%,30%,0%,0%,0%,2%,0%,0%,7%,3%
105135,170 ,150 ,20 ,0 ,5 ,40 ,85 ,0 ,0 ,0 ,5 ,0 ,SUPP,15 ,10 ,88%,11%,0%,4%,24%,49%,0%,0%,0%,2%,0%,SUPP,8%,5%
100204,10 ,10 ,5 ,0 ,0 ,SUPP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,5 ,45%,36%,0%,0%,SUPP,0%,0%,0%,0%,0%,0%,0%,27%,27%
138547,20 ,20 ,SUPP,0 ,0 ,5 ,0 ,0 ,0 ,15 ,0 ,0 ,0 ,SUPP,SUPP,87%,SUPP,0%,0%,26%,0%,0%,0%,57%,0%,0%,0%,SUPP,SUPP
100277,160 ,130 ,35 ,0 ,5 ,55 ,35 ,0 ,0 ,0 ,0 ,0 ,SUPP,20 ,10 ,82%,22%,0%,2%,35%,22%,0%,0%,0%,0%,0%,SUPP,12%,6%
137442,170 ,160 ,35 ,0 ,5 ,80 ,35 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,5 ,93%,22%,0%,2%,47%,21%,0%,0%,0%,0%,0%,0%,3%,4%
100279,240 ,210 ,70 ,0 ,5 ,120 ,10 ,0 ,0 ,0 ,5 ,0 ,0 ,15 ,15 ,88%,30%,0%,2%,51%,5%,0%,0%,0%,2%,0%,0%,6%,6%
133599,50 ,30 ,25 ,0 ,0 ,0 ,0 ,0 ,SUPP,0 ,0 ,SUPP,0 ,15 ,10 ,52%,48%,0%,0%,0%,0%,0%,SUPP,0%,0%,SUPP,0%,31%,17%
100282,120 ,110 ,15 ,0 ,0 ,65 ,30 ,0 ,0 ,0 ,SUPP,0 ,0 ,5 ,5 ,93%,11%,0%,0%,58%,24%,0%,0%,0%,SUPP,0%,0%,3%,3%
100284,140 ,120 ,50 ,0 ,5 ,25 ,40 ,0 ,0 ,0 ,5 ,0 ,0 ,15 ,5 ,85%,36%,0%,2%,18%,28%,0%,0%,0%,3%,0%,0%,11%,5%
100285,160 ,140 ,45 ,0 ,5 ,65 ,25 ,0 ,0 ,0 ,SUPP,0 ,0 ,5 ,10 ,89%,29%,0%,3%,40%,17%,0%,0%,0%,SUPP,0%,0%,4%,8%
134693,180 ,160 ,35 ,0 ,5 ,105 ,10 ,0 ,SUPP,0 ,5 ,0 ,0 ,15 ,10 ,87%,19%,0%,3%,57%,7%,0%,SUPP,0%,2%,0%,0%,8%,5%
131062,170 ,140 ,40 ,0 ,5 ,80 ,15 ,0 ,0 ,0 ,5 ,0 ,0 ,20 ,5 ,85%,25%,0%,4%,47%,10%,0%,0%,0%,4%,0%,0%,11%,4%
136137,70 ,60 ,5 ,0 ,0 ,50 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,SUPP,91%,10%,0%,0%,71%,10%,0%,0%,0%,0%,0%,0%,6%,SUPP
100307,20 ,20 ,15 ,0 ,0 ,0 ,SUPP,0 ,0 ,0 ,0 ,0 ,0 ,SUPP,0 ,94%,89%,0%,0%,0%,SUPP,0%,0%,0%,0%,0%,0%,SUPP,0%
100311,20 ,20 ,15 ,0 ,0 ,SUPP,0 ,0 ,0 ,SUPP,0 ,0 ,0 ,SUPP,5 ,83%,70%,0%,0%,SUPP,0%,0%,0%,SUPP,0%,0%,0%,SUPP,13%
