URN,COHORT,OVERALL,FEC,INDEP,OTHERFE,SSF,SFC,SPI,AP_PRU,SPECIAL,APPREN,HE,COMBO,KNOWN,UNKNOWN,OVERALLPER,FECPER,INDEPPER,OTHERFEPER,SSFPER,SFCPER,SPIPER,AP_PRUPER,SPECIALPER,APPRENPER,HEPER,COMBOPER,KNOWNPER,UNKNOWNPER
100312,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
139364,100 ,80 ,30 ,0 ,SUPP,50 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,5 ,87%,32%,0%,SUPP,52%,3%,0%,0%,0%,0%,0%,0%,6%,6%
100359,170 ,140 ,55 ,0 ,5 ,75 ,5 ,0 ,0 ,0 ,SUPP,0 ,SUPP,15 ,10 ,84%,34%,0%,2%,45%,4%,0%,0%,0%,SUPP,0%,SUPP,8%,7%
139365,110 ,100 ,25 ,5 ,SUPP,65 ,5 ,0 ,0 ,0 ,SUPP,0 ,0 ,5 ,5 ,91%,21%,5%,SUPP,59%,5%,0%,0%,0%,SUPP,0%,0%,5%,4%
100361,80 ,70 ,40 ,SUPP,SUPP,30 ,SUPP,0 ,0 ,0 ,SUPP,0 ,0 ,5 ,5 ,86%,48%,SUPP,SUPP,35%,SUPP,0%,0%,0%,SUPP,0%,0%,7%,7%
137935,160 ,150 ,5 ,20 ,SUPP,105 ,15 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,SUPP,94%,4%,11%,SUPP,68%,10%,0%,0%,0%,0%,0%,0%,4%,SUPP
138607,90 ,90 ,5 ,10 ,0 ,75 ,SUPP,0 ,0 ,0 ,SUPP,0 ,0 ,SUPP,0 ,99%,7%,9%,0%,82%,SUPP,0%,0%,0%,SUPP,0%,0%,SUPP,0%
137157,190 ,180 ,10 ,5 ,0 ,155 ,10 ,0 ,0 ,0 ,SUPP,0 ,0 ,SUPP,5 ,98%,5%,4%,0%,83%,5%,0%,0%,0%,SUPP,0%,0%,SUPP,2%
131752,150 ,120 ,30 ,SUPP,0 ,70 ,15 ,0 ,0 ,0 ,SUPP,0 ,0 ,25 ,5 ,79%,22%,SUPP,0%,47%,10%,0%,0%,0%,SUPP,0%,0%,18%,3%
100379,20 ,10 ,5 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,SUPP,SUPP,73%,47%,0%,0%,27%,0%,0%,0%,0%,0%,0%,0%,SUPP,SUPP
100381,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
100382,20 ,10 ,10 ,SUPP,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,82%,47%,SUPP,0%,29%,0%,0%,0%,0%,0%,0%,0%,18%,0%
135175,10 ,10 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,SUPP,0 ,0 ,0 ,0 ,0 ,100%,67%,0%,0%,0%,0%,0%,0%,SUPP,0%,0%,0%,0%,0%
100452,160 ,130 ,40 ,0 ,5 ,75 ,5 ,0 ,0 ,0 ,5 ,0 ,SUPP,20 ,10 ,80%,25%,0%,4%,47%,3%,0%,0%,0%,2%,0%,SUPP,14%,6%
100453,110 ,90 ,55 ,0 ,5 ,20 ,5 ,0 ,0 ,0 ,5 ,0 ,SUPP,10 ,10 ,82%,51%,0%,6%,20%,4%,0%,0%,0%,6%,0%,SUPP,9%,9%
100455,130 ,110 ,45 ,0 ,SUPP,65 ,SUPP,0 ,0 ,0 ,SUPP,0 ,0 ,5 ,10 ,87%,35%,0%,SUPP,51%,SUPP,0%,0%,0%,SUPP,0%,0%,5%,8%
100457,170 ,150 ,115 ,0 ,5 ,20 ,15 ,0 ,0 ,0 ,SUPP,0 ,0 ,10 ,10 ,91%,68%,0%,2%,11%,9%,0%,0%,0%,SUPP,0%,0%,5%,5%
131690,170 ,140 ,105 ,0 ,10 ,10 ,15 ,0 ,0 ,0 ,5 ,0 ,0 ,15 ,20 ,81%,60%,0%,5%,6%,10%,0%,0%,0%,2%,0%,0%,9%,10%
100458,140 ,130 ,25 ,0 ,5 ,90 ,5 ,0 ,0 ,0 ,5 ,0 ,SUPP,5 ,10 ,89%,17%,0%,3%,64%,4%,0%,0%,0%,4%,0%,SUPP,5%,6%
100459,160 ,140 ,15 ,SUPP,5 ,100 ,15 ,0 ,0 ,0 ,5 ,0 ,SUPP,10 ,5 ,88%,11%,SUPP,3%,65%,9%,0%,0%,0%,2%,0%,SUPP,8%,4%
100460,130 ,110 ,75 ,0 ,SUPP,20 ,15 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,5 ,89%,59%,0%,SUPP,16%,12%,0%,0%,0%,0%,0%,0%,7%,4%
135587,150 ,120 ,45 ,0 ,5 ,65 ,5 ,0 ,0 ,0 ,SUPP,0 ,5 ,20 ,10 ,79%,29%,0%,2%,43%,2%,0%,0%,0%,SUPP,0%,3%,13%,8%
100467,10 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,0 ,0 ,0 ,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
134030,10 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,0 ,0 ,0 ,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
100469,20 ,20 ,15 ,0 ,SUPP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,100%,93%,0%,SUPP,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
140134,230 ,200 ,50 ,5 ,5 ,120 ,20 ,0 ,0 ,0 ,SUPP,0 ,0 ,20 ,15 ,85%,23%,1%,2%,52%,8%,0%,0%,0%,SUPP,0%,0%,10%,6%
100502,120 ,110 ,25 ,SUPP,SUPP,40 ,40 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,5 ,90%,20%,SUPP,SUPP,33%,34%,0%,0%,0%,0%,0%,0%,7%,3%
100503,100 ,90 ,20 ,SUPP,10 ,35 ,25 ,0 ,0 ,0 ,5 ,0 ,0 ,5 ,5 ,90%,18%,SUPP,9%,36%,26%,0%,0%,0%,3%,0%,0%,6%,4%
100506,120 ,110 ,10 ,0 ,SUPP,100 ,SUPP,0 ,0 ,SUPP,SUPP,0 ,0 ,5 ,5 ,94%,7%,0%,SUPP,84%,SUPP,0%,0%,SUPP,SUPP,0%,0%,3%,3%
100548,10 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,0 ,0 ,SUPP,0 ,93%,0%,0%,0%,0%,0%,0%,0%,93%,0%,0%,0%,SUPP,0%
100624,120 ,110 ,35 ,SUPP,SUPP,55 ,15 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,5 ,91%,28%,SUPP,SUPP,48%,14%,0%,0%,0%,0%,0%,0%,5%,3%
100625,110 ,100 ,70 ,0 ,SUPP,10 ,15 ,0 ,0 ,0 ,SUPP,0 ,0 ,5 ,10 ,84%,61%,0%,SUPP,7%,14%,0%,0%,0%,SUPP,0%,0%,6%,10%
136450,160,140,85,SUPP,5,20,25,0,0,0,5,0,0,20,5,85%,52%,SUPP,4%,13%,16%,0%,0%,0%,2%,0%,0%,12%,3%
100627,140 ,130 ,55 ,0 ,SUPP,25 ,40 ,0 ,0 ,0 ,5 ,0 ,0 ,5 ,5 ,92%,40%,0%,SUPP,20%,31%,0%,0%,0%,4%,0%,0%,4%,4%
100637,150 ,140 ,25 ,SUPP,5 ,75 ,35 ,0 ,0 ,0 ,5 ,0 ,0 ,5 ,SUPP,95%,18%,SUPP,2%,50%,24%,0%,0%,0%,2%,0%,0%,5%,SUPP
100638,180 ,170 ,35 ,SUPP,SUPP,95 ,30 ,0 ,0 ,0 ,5 ,0 ,SUPP,5 ,10 ,91%,19%,SUPP,SUPP,53%,17%,0%,0%,0%,2%,0%,SUPP,4%,5%
137093,190 ,170 ,35 ,0 ,SUPP,115 ,15 ,0 ,0 ,0 ,5 ,0 ,SUPP,10 ,5 ,91%,19%,0%,SUPP,63%,8%,0%,0%,0%,2%,0%,SUPP,6%,3%
100640,100 ,90 ,25 ,SUPP,SUPP,35 ,25 ,0 ,0 ,0 ,SUPP,0 ,0 ,5 ,5 ,90%,25%,SUPP,SUPP,35%,27%,0%,0%,0%,SUPP,0%,0%,7%,3%
137966,150 ,140 ,25 ,SUPP,5 ,55 ,55 ,0 ,0 ,0 ,SUPP,0 ,0 ,10 ,5 ,92%,17%,SUPP,3%,37%,35%,0%,0%,0%,SUPP,0%,0%,6%,2%
100642,110 ,90 ,25 ,0 ,SUPP,60 ,5 ,0 ,0 ,0 ,5 ,0 ,SUPP,10 ,5 ,84%,23%,0%,SUPP,55%,4%,0%,0%,0%,5%,0%,SUPP,10%,6%
100643,10 ,10 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
134815,150,130,40,0,5,80,10,0,0,0,5,0,0,15,10,84%,25%,0%,2%,52%,5%,0%,0%,0%,3%,0%,0%,10%,6%
100654,20 ,10 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,SUPP,5 ,67%,67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,SUPP,22%
100659,20 ,10 ,10 ,0 ,SUPP,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,53%,47%,0%,SUPP,0%,0%,0%,0%,0%,0%,0%,0%,47%,0%
133442,10 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
100740,220 ,190 ,65 ,0 ,SUPP,50 ,70 ,0 ,0 ,0 ,SUPP,0 ,0 ,20 ,15 ,85%,29%,0%,SUPP,23%,33%,0%,0%,0%,SUPP,0%,0%,8%,7%
100741,240 ,190 ,30 ,0 ,5 ,125 ,30 ,0 ,0 ,0 ,5 ,0 ,0 ,20 ,35 ,77%,13%,0%,1%,51%,12%,0%,0%,0%,1%,0%,0%,8%,15%
100742,160 ,120 ,60 ,SUPP,5 ,20 ,35 ,0 ,0 ,0 ,0 ,0 ,0 ,20 ,20 ,75%,39%,SUPP,2%,12%,22%,0%,0%,0%,0%,0%,0%,12%,12%
100743,290 ,220 ,85 ,0 ,10 ,95 ,25 ,0 ,0 ,SUPP,5 ,0 ,SUPP,40 ,25 ,78%,30%,0%,4%,34%,9%,0%,0%,SUPP,2%,0%,SUPP,14%,8%
100745,220 ,100 ,45 ,0 ,5 ,30 ,20 ,0 ,0 ,0 ,5 ,0 ,0 ,25 ,100 ,43%,20%,0%,2%,13%,9%,0%,0%,0%,3%,0%,0%,11%,45%
100747,170 ,130 ,70 ,0 ,SUPP,40 ,20 ,0 ,0 ,0 ,SUPP,0 ,0 ,10 ,25 ,78%,42%,0%,SUPP,24%,12%,0%,0%,0%,SUPP,0%,0%,7%,15%
100748,120 ,100 ,35 ,0 ,5 ,45 ,20 ,0 ,0 ,0 ,5 ,0 ,0 ,5 ,5 ,90%,30%,0%,3%,38%,19%,0%,0%,0%,3%,0%,0%,6%,3%
100749,100 ,90 ,20 ,0 ,5 ,25 ,40 ,0 ,0 ,0 ,5 ,0 ,0 ,5 ,SUPP,95%,22%,0%,5%,28%,40%,0%,0%,0%,4%,0%,0%,4%,SUPP
100750,110 ,110 ,15 ,0 ,0 ,85 ,5 ,0 ,0 ,0 ,SUPP,0 ,0 ,5 ,5 ,93%,12%,0%,0%,76%,4%,0%,0%,0%,SUPP,0%,0%,3%,4%
100752,150 ,130 ,20 ,SUPP,SUPP,45 ,65 ,0 ,0 ,0 ,SUPP,0 ,0 ,10 ,5 ,90%,12%,SUPP,SUPP,31%,46%,0%,0%,0%,SUPP,0%,0%,6%,3%
135073,200,190,25,0,5,155,SUPP,0,0,0,10,0,0,5,5,95%,12%,0%,3%,79%,SUPP,0%,0%,0%,5%,0%,0%,4%,2%
135070,150,120,45,0,5,70,5,0,0,0,5,0,0,15,5,86%,30%,0%,2%,50%,4%,0%,0%,0%,3%,0%,0%,11%,3%
135264,40,40,5,0,5,5,20,0,0,0,5,0,0,5,0,92%,10%,0%,10%,15%,56%,0%,0%,0%,10%,0%,0%,8%,0%
100760,20 ,20 ,15 ,0 ,SUPP,SUPP,0 ,0 ,SUPP,5 ,0 ,0 ,0 ,SUPP,SUPP,87%,57%,0%,SUPP,SUPP,0%,0%,SUPP,13%,0%,0%,0%,SUPP,SUPP
100765,20 ,20 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,15 ,0 ,0 ,0 ,0 ,0 ,100%,0%,0%,24%,0%,0%,0%,0%,76%,0%,0%,0%,0%,0%
136309,230 ,200 ,85 ,0 ,5 ,75 ,30 ,0 ,0 ,0 ,SUPP,0 ,SUPP,25 ,10 ,86%,36%,0%,2%,33%,14%,0%,0%,0%,SUPP,0%,SUPP,10%,4%
136298,160 ,140 ,35 ,0 ,SUPP,95 ,10 ,0 ,0 ,0 ,5 ,0 ,SUPP,10 ,10 ,88%,22%,0%,SUPP,58%,7%,0%,0%,0%,2%,0%,SUPP,7%,5%
100849,120 ,110 ,15 ,0 ,5 ,50 ,40 ,0 ,0 ,0 ,SUPP,0 ,0 ,10 ,SUPP,92%,12%,0%,3%,42%,36%,0%,0%,0%,SUPP,0%,0%,7%,SUPP
100857,140 ,120 ,30 ,0 ,SUPP,20 ,65 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,10 ,86%,23%,0%,SUPP,16%,46%,0%,0%,0%,0%,0%,0%,6%,8%
138961,130 ,120 ,30 ,SUPP,5 ,40 ,35 ,0 ,0 ,0 ,5 ,0 ,5 ,10 ,SUPP,90%,23%,SUPP,3%,32%,28%,0%,0%,0%,5%,0%,2%,8%,SUPP
100859,120 ,110 ,20 ,SUPP,SUPP,15 ,75 ,0 ,0 ,SUPP,SUPP,0 ,0 ,5 ,5 ,90%,15%,SUPP,SUPP,12%,60%,0%,0%,SUPP,SUPP,0%,0%,6%,4%
138960,130 ,120 ,20 ,SUPP,0 ,35 ,65 ,0 ,0 ,0 ,0 ,0 ,SUPP,5 ,5 ,93%,15%,SUPP,0%,26%,52%,0%,0%,0%,0%,0%,SUPP,4%,3%
134222,170 ,140 ,30 ,SUPP,10 ,85 ,10 ,0 ,0 ,0 ,5 ,0 ,SUPP,20 ,5 ,84%,19%,SUPP,7%,52%,6%,0%,0%,0%,4%,0%,SUPP,11%,4%
134225,210 ,170 ,80 ,0 ,5 ,40 ,45 ,0 ,0 ,0 ,5 ,0 ,0 ,20 ,20 ,82%,39%,0%,2%,19%,22%,0%,0%,0%,1%,0%,0%,9%,9%
131747,170 ,140 ,50 ,SUPP,10 ,45 ,40 ,0 ,0 ,0 ,5 ,0 ,0 ,20 ,5 ,85%,29%,SUPP,5%,26%,24%,0%,0%,0%,2%,0%,0%,12%,4%
132711,130 ,110 ,40 ,0 ,5 ,25 ,45 ,0 ,0 ,0 ,5 ,0 ,0 ,10 ,5 ,86%,29%,0%,3%,18%,36%,0%,0%,0%,3%,0%,0%,9%,5%
135315,170 ,130 ,45 ,0 ,5 ,45 ,35 ,0 ,SUPP,0 ,5 ,0 ,0 ,20 ,15 ,78%,26%,0%,4%,28%,20%,0%,SUPP,0%,3%,0%,0%,13%,10%
135401,170 ,150 ,35 ,0 ,5 ,90 ,15 ,0 ,0 ,0 ,10 ,0 ,SUPP,10 ,5 ,92%,21%,0%,4%,55%,10%,0%,0%,0%,5%,0%,SUPP,5%,3%
135584,110 ,100 ,55 ,0 ,5 ,15 ,25 ,0 ,0 ,0 ,0 ,0 ,SUPP,10 ,5 ,89%,49%,0%,3%,15%,21%,0%,0%,0%,0%,0%,SUPP,8%,3%
100872,30 ,20 ,15 ,0 ,SUPP,0 ,0 ,0 ,0 ,10 ,0 ,0 ,0 ,SUPP,0 ,96%,52%,0%,SUPP,0%,0%,0%,0%,40%,0%,0%,0%,SUPP,0%
100873,10 ,10 ,SUPP,0 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,0 ,0 ,0 ,100%,SUPP,0%,0%,0%,0%,0%,0%,92%,0%,0%,0%,0%,0%
140138,10 ,10 ,5 ,0 ,SUPP,0 ,0 ,0 ,0 ,SUPP,0 ,0 ,0 ,SUPP,0 ,88%,63%,0%,SUPP,0%,0%,0%,0%,SUPP,0%,0%,0%,SUPP,0%
100880,10 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,SUPP,86%,0%,0%,0%,0%,0%,0%,0%,86%,0%,0%,0%,0%,SUPP
100965,130 ,110 ,75 ,0 ,5 ,5 ,30 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,5 ,89%,58%,0%,2%,4%,25%,0%,0%,0%,0%,0%,0%,6%,5%
100966,170 ,140 ,100 ,SUPP,10 ,25 ,10 ,0 ,0 ,0 ,5 ,0 ,0 ,15 ,10 ,85%,59%,SUPP,5%,14%,7%,0%,0%,0%,2%,0%,0%,9%,7%
100967,230 ,210 ,60 ,SUPP,10 ,120 ,15 ,0 ,0 ,SUPP,10 ,0 ,SUPP,15 ,5 ,92%,26%,SUPP,4%,54%,7%,0%,0%,SUPP,4%,0%,SUPP,7%,1%
100968,210 ,200 ,20 ,SUPP,SUPP,170 ,5 ,0 ,0 ,0 ,5 ,0 ,5 ,5 ,5 ,95%,10%,SUPP,SUPP,81%,1%,0%,0%,0%,2%,0%,1%,3%,1%
100969,160 ,140 ,65 ,SUPP,0 ,50 ,15 ,0 ,0 ,0 ,SUPP,0 ,SUPP,10 ,5 ,89%,43%,SUPP,0%,32%,11%,0%,0%,0%,SUPP,0%,SUPP,7%,4%
100970,180 ,150 ,55 ,0 ,5 ,65 ,20 ,0 ,0 ,0 ,5 ,0 ,SUPP,20 ,10 ,83%,31%,0%,3%,37%,11%,0%,0%,0%,3%,0%,SUPP,12%,4%
137789,150 ,120 ,50 ,0 ,10 ,40 ,25 ,0 ,0 ,0 ,5 ,0 ,SUPP,20 ,5 ,83%,34%,0%,5%,27%,16%,0%,0%,0%,2%,0%,SUPP,12%,5%
100972,120 ,100 ,40 ,0 ,5 ,45 ,SUPP,0 ,0 ,0 ,SUPP,0 ,SUPP,10 ,10 ,83%,36%,0%,3%,41%,SUPP,0%,0%,0%,SUPP,0%,SUPP,10%,8%
100973,200 ,170 ,60 ,0 ,5 ,85 ,15 ,0 ,0 ,0 ,SUPP,0 ,SUPP,20 ,10 ,84%,31%,0%,2%,43%,7%,0%,0%,0%,SUPP,0%,SUPP,10%,6%
133289,120 ,100 ,25 ,SUPP,5 ,65 ,5 ,0 ,0 ,0 ,5 ,0 ,0 ,10 ,10 ,84%,22%,SUPP,3%,54%,3%,0%,0%,0%,3%,0%,0%,8%,9%
100974,190 ,140 ,65 ,SUPP,5 ,55 ,SUPP,0 ,0 ,0 ,5 ,0 ,SUPP,25 ,30 ,71%,35%,SUPP,4%,30%,SUPP,0%,0%,0%,3%,0%,SUPP,13%,16%
